rank,molecule_chembl_id,pref_name,pred_pIC50,pred_active_prob,nn_tanimoto_to_potent,nn_potent_id,nn_potent_pIC50,ad_max_sim_to_train,in_domain,pains,consensus_score,first_approval,withdrawn_flag,clean_smiles
1792,CHEMBL1479,DANAZOL,5.505531778120636,0.3132,0.15625,CHEMBL4761104,7.324875990832918,0.175,False,False,0.34405111018014245,1976.0,False,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C
1793,CHEMBL600,ACETYLCYSTEINE,5.313055583124094,0.287,0.17777777777777778,CHEMBL3310846,7.1487416512809245,0.36363636363636365,True,False,0.3433179723502304,1963.0,False,CC(=O)N[C@@H](CS)C(=O)O
1794,CHEMBL103,PROGESTERONE,5.469285957718174,0.286,0.16049382716049382,CHEMBL4863227,8.2518119729938,0.2,False,False,0.3433179723502304,1976.0,False,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
1795,CHEMBL888,GEMCITABINE,5.441349061087689,0.284,0.16216216216216217,CHEMBL4570289,7.337242168318426,0.18840579710144928,False,False,0.34289903644742353,1996.0,False,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1
1796,CHEMBL4802240,FOSCARBIDOPA,5.260481590339383,0.2521151515151515,0.1839080459770115,CHEMBL5754431,7.467245621007502,0.22950819672131148,False,False,0.3427943024717218,2024.0,False,C[C@@](Cc1ccc(OP(=O)(O)O)c(O)c1)(NN)C(=O)O
1797,CHEMBL1200385,ARBUTAMINE HYDROCHLORIDE,5.037862679595688,0.12075,0.21052631578947367,CHEMBL6168947,7.0915149811213505,0.25,False,True,0.3426895684960201,1997.0,False,Oc1ccc(CCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1
1798,CHEMBL723,CARVEDILOL,5.164694787671606,0.19,0.1956521739130435,CHEMBL5906493,8.036212172654444,0.359375,True,False,0.3425848345203184,1995.0,False,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
1799,CHEMBL71,CHLORPROMAZINE,5.1765324903448615,0.161,0.19444444444444445,CHEMBL6167358,7.08460016478773,0.28378378378378377,False,False,0.342375366568915,1957.0,False,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
1800,CHEMBL361497,ARTESUNATE,5.548383798461428,0.4595,0.15053763440860216,CHEMBL5287332,7.0,0.18181818181818182,False,False,0.3422706325932132,2020.0,False,C[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3
1801,CHEMBL1201065,THIAMYLAL SODIUM,5.635849790911508,0.258,0.12631578947368421,CHEMBL6013805,7.522878745280337,0.16363636363636364,False,False,0.3414327607875995,1982.0,False,C=CCC1(C(C)CCC)C(=O)[N-]C(=S)NC1=O
1802,CHEMBL1208642,THIOSULFURIC ACID,5.673330080404659,0.12333333333333334,0.1111111111111111,CHEMBL3310847,7.292429823902063,0.1111111111111111,False,False,0.3414327607875995,1992.0,False,O=S(O)(O)=S
1803,CHEMBL1908917,FLUCICLOVINE,5.355817857473073,0.1693333333333333,0.17142857142857143,CHEMBL5893889,7.056011124926228,0.17142857142857143,False,False,0.3413280268118978,2016.0,False,N[C@]1(C(=O)O)C[C@@H](F)C1
1804,CHEMBL254468,FLUCICLOVINE F18,5.355817857473073,0.1693333333333333,0.17142857142857143,CHEMBL5893889,7.056011124926228,0.17142857142857143,False,False,0.3413280268118978,2016.0,False,N[C@]1(C(=O)O)C[C@@H]([18F])C1
