clean_smiles,pIC50_ido1,pIC50_tdo2
CC1(C)CN(C(=O)C(=O)Nc2ccc(Cl)cc2)CCC1c1ccnc2ccc(F)cc12,7.638272163982407,5.346787486224656
CC1(C)CN(c2cc(Br)cc3[nH]ncc23)CCN1S(C)(=O)=O,6.585026652029182,6.346787486224656
CC1(C)CN(c2cc(Br)cc3cncn23)CCC12NC(=O)NC2=O,7.059981844992337,5.92009553233328
CC1(C)CN(c2cc(C(F)(F)F)cc3cncn23)CCC12NC(=O)N(CC1CCOCC1)C2=O,5.92009553233328,4.779996573843064
CC1(C)CN(c2cc(C(F)(F)F)cc3cncn23)CCC12NC(=O)N(c1ccccc1)C2=O,5.659952682338607,4.41999931041096
CC1(C)CN(c2cc(C(F)(F)F)cc3cncn23)CCC12NC(=O)NC2=O,5.92009553233328,5.519993057042849
CC1(C)CN(c2cc(C(F)(F)F)cn3cncc23)CCC12NC(=O)NC2=O,5.739928612014925,6.100179497572904
CC1(C)CN(c2cc(Cl)cc3cncn23)CCC12NC(=O)NC2=O,6.910569056421562,6.064862440186053
CC1(C)OB(c2ccc3nc4n(c(=O)c3c2)-c2ccc(F)cc2C4=O)OC1(C)C,5.503999545028773,5.220403508742176
CC1(C)OCC(Cn2cc(-c3ccc(N4CCC(C5c6c(F)cccc6-c6cncn65)CC4)cc3)cn2)O1,7.230622673923861,6.496209316942819
CC1(C)OC[C@H](Cn2cc(-c3ccc(N4CCC(C5c6c(F)cccc6-c6cncn65)CC4)cc3)cn2)O1,7.444905551421681,6.657577319177793
CC1(C)c2ccc3c(c2CC[C@@H]1O)C(=O)C(=O)c1c(CO)coc1-3,6.003215758605136,6.0089775104642555
CC1(CC(O)c2c(C3CC3)sc3cncn23)CCC1,7.379863945026242,6.522878745280337
CC1(CC(O)c2c(C3CC3)sc3cncn23)CCCCC1,7.392544976785332,6.690369832574102
CC1([C@H](O)c2c(C3CC3)sc3cncn23)CCCC1,8.359518563029578,7.371611069949688
CC1(c2ccccc2)CCC(C(O)c2c(C3CC3)sc3cncn23)C1,7.115204636051019,5.892790030352131
CC1(c2sc3cncn3c2C(O)C2CCCCC2)CC1,6.3819519032879075,5.645891560852599
CC1=C(CC(=O)c2sccc2Br)C(=O)c2ccccc2C1=O,4.423658649794207,8.465973893943865
CC1CC(C)(C)CC1C(O)c1c(C2CC2)sc2cncn12,6.764471553092451,6.607303046740334
CC1CCC(C(O)c2c(C(F)(F)F)sc3cncn23)C1,7.341988603342887,6.154281982033341
CC1CCC(C(O)c2c(C(F)(F)F)sc3cncn23)CC1,7.075204004202088,5.707743928643524
CC1CCC(C(O)c2c(C3CC3)sc3cncn23)C1,7.91721462968355,6.342944147142896
CC1CCC(C(O)c2c(C3CC3)sc3cncn23)CC1,7.801342913045577,6.416801226031377
CC1CCC(CC(O)c2c(C3CC3)sc3cncn23)CC1,7.298432014944073,6.195179321278838
CC1CCCC(C(O)c2c(C3CC3)sc3cncn23)C1,7.764471553092451,6.4156687756324695
CC1CCCC(CC(O)c2c(C(F)(F)F)sc3cncn23)C1,6.688246138944246,5.419075024324381
CC1CCCC(CC(O)c2c(C3CC3)sc3cncn23)C1,7.669586226650809,6.293282217663241
