clean_smiles,pIC50,molecule_chembl_id,n_measurements,pref_name,pains
CC(=O)NCCSc1nonc1/C(=N/O)N[C@@H]1CCc2ccccc21,4.921905849593589,CHEMBL6016472,1,,False
CC(=O)NCCSc1nonc1/C(=N/O)N[C@@H]1Cc2c(Cl)cccc21,5.710188160882378,CHEMBL6055552,1,,False
CC(=O)NCCSc1nonc1/C(=N/O)N[C@@H]1Cc2ccc(F)cc21,5.663540266151471,CHEMBL5838557,1,,False
CC(=O)NCCSc1nonc1/C(=N/O)N[C@H]1CCc2ccccc21,6.5638373529592435,CHEMBL5995886,1,,False
CC(=O)NCCSc1nonc1/C(=N/O)N[C@H]1Cc2c(Cl)cccc21,6.421360790031928,CHEMBL5947152,1,,False
CC(=O)NCCSc1nonc1/C(=N/O)N[C@H]1Cc2ccc(F)cc21,7.510041520575165,CHEMBL4584522,5,,False
CC(=O)NCCSc1nonc1/C(=N/O)Nc1cc(Br)c(F)cc1F,6.866461091629782,CHEMBL5772823,1,,False
CC(=O)NCCSc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,7.557520230935552,CHEMBL5869176,1,,False
CC(=O)NCCSc1nonc1/C(=N/O)Nc1ccc(F)c(C#N)c1,6.982966660701219,CHEMBL5805753,1,,False
CC(=O)NCCSc1nonc1/C(=N/O)Nc1ccc(F)c(C(F)(F)F)c1,7.185086818724926,CHEMBL5983487,1,,False
CC(=O)NCCSc1nonc1/C(=N/O)Nc1ccc(F)c(C(F)F)c1,7.267606240177032,CHEMBL5833530,1,,False
CC(=O)NCCSc1nonc1/C(=N/O)Nc1ccc(F)c(C)c1,6.94692155651658,CHEMBL5900340,1,,False
CC(=O)NCCSc1nonc1/C(=N/O)Nc1ccc(F)c(OC(F)(F)F)c1,6.448550002027125,CHEMBL6033297,1,,False
CC(=O)NCCSc1nonc1/C(=N/O)Nc1ccc(F)cc1,5.986320302708807,CHEMBL5801903,1,,False
CC(=O)NCCSc1nonc1/C(=N/O)Nc1cccc(Br)c1,7.634512015109101,CHEMBL5752417,1,,False
CC(=O)NCCSc1nonc1/C(=N\O)NC1CCc2c(F)cc(F)cc21,5.949143643076745,CHEMBL5998606,2,,False
CC(=O)NCCSc1nonc1/C(=N\O)NC1CCc2ccc(F)c(F)c21,5.612918226436685,CHEMBL5817800,2,,False
CC(=O)NCCc1c(C(=O)c2ccccc2[N+](=O)[O-])[nH]c2ccc(Cl)cc12,6.130768280269024,CHEMBL5281083,1,,True
CC(=O)NCCc1c[nH]c2c1C(=O)C(c1cccnc1)=CC2=O,5.866461091629782,CHEMBL4646706,1,,True
CC(=O)NCCn1cc(-c2ccc(N3CCC(C4c5c(F)cccc5-c5cncn54)CC3)cc2)cn1,7.198596289982645,CHEMBL5812234,1,,False
CC(=O)NC[C@@H](CO)Oc1nonc1/C(=N/O)N[C@H]1Cc2ccc(F)cc21,6.665546248849069,CHEMBL5859972,1,,False
CC(=O)NC[C@H](C)Oc1nonc1/C(=N/O)N[C@H]1Cc2ccc(F)cc21,5.62324060459512,CHEMBL5838766,1,,False
CC(=O)NC[C@H](O)COc1nonc1/C(=N/O)N[C@H]1Cc2ccc(F)cc21,6.665546248849069,CHEMBL5822569,1,,False
CC(=O)N[C@@H](C)CSc1nonc1/C(=N/O)Nc1ccc(F)c(C#N)c1,6.707743928643524,CHEMBL5909660,1,,False
CC(=O)N[C@@H](CC1C(=O)Nc2ccccc21)C(=O)O,6.2076083105017466,CHEMBL4279220,1,,False
CC(=O)N[C@@H](CO)COc1nonc1/C(=N/O)N[C@H]1Cc2ccc(F)cc21,5.7423214251308154,CHEMBL5823732,1,,False
CC(=O)N[C@H](C)CSc1nonc1/C(=N/O)Nc1ccc(F)c(C#N)c1,6.661543506395395,CHEMBL5983850,1,,False
CC(=O)N[C@H](CO)COc1nonc1/C(=N/O)N[C@H]1Cc2ccc(F)cc21,5.97061622231479,CHEMBL6050393,1,,False
CC(=O)N[C@H](CO)CSc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,7.028260409112222,CHEMBL5792847,1,,False
CC(=O)N[C@H]1C[C@@H](Oc2nonc2/C(=N/O)N[C@H]2Cc3ccc(F)cc32)C1,7.294992040666664,CHEMBL5752717,1,,False
CC(=O)N[C@H]1C[C@H](Oc2nonc2/C(=N/O)N[C@H]2Cc3ccc(F)cc32)C1,7.078833949362261,CHEMBL5983957,1,,False
CC(=O)Nc1cc(Nc2ccc(C(F)(F)F)cc2)c2cc(C(=O)O)[nH]c2c1,4.255707016877324,CHEMBL4790619,1,,False
CC(=O)Nc1cc(Nc2ccc(F)c(-c3ccsc3)c2)c2cc(C(=O)O)[nH]c2c1,5.410050398674292,CHEMBL4741917,1,,False
CC(=O)Nc1cc(Nc2ccc(F)c(C)c2)c2cc(C(=O)O)[nH]c2c1,5.73754891026957,CHEMBL4744944,1,,False
CC(=O)Nc1cc(Nc2ccc(F)c(C3CC3)c2)c2cc(C(=O)O)[nH]c2c1,5.530177984021837,CHEMBL4786080,1,,False
CC(=O)Nc1cc(Nc2ccc(F)c(Cl)c2)c2cc(C(=O)O)[nH]c2c1,5.075720713938118,CHEMBL4790494,2,,False
CC(=O)Nc1cc(Nc2ccc(F)c(F)c2)c2cc(C(=O)O)[nH]c2c1,5.931814138253839,CHEMBL4763910,2,,False
CC(=O)Nc1cc(Nc2ccc(F)c(OC(C)C)c2)c2cc(C(=O)O)[nH]c2c1,5.510041520575165,CHEMBL4785586,1,,False
CC(=O)Nc1cc(Nc2ccc(F)c(OC(F)(F)F)c2)c2cc(C(=O)O)[nH]c2c1,5.863279432843593,CHEMBL4757365,1,,False
CC(=O)Nc1cc(Nc2ccc(F)c(OCC(F)(F)F)c2)c2cc(C(=O)O)[nH]c2c1,5.335358024443875,CHEMBL4746735,1,,False
CC(=O)Nc1cc(Nc2ccc(F)c(OCC3CC3)c2)c2cc(C(=O)O)[nH]c2c1,5.507239610973162,CHEMBL4790626,1,,False
CC(=O)Nc1cc(Nc2ccc(F)c(OCc3ccccc3)c2)c2cc(C(=O)O)[nH]c2c1,5.0,CHEMBL4754740,1,,False
CC(=O)Nc1cc(Nc2ccc(F)c(Oc3ccccc3)c2)c2cc(C(=O)O)[nH]c2c1,5.2343314452409855,CHEMBL4764324,1,,False
CC(=O)Nc1cc(Nc2ccc(F)cc2)c2cc(C(=O)O)[nH]c2c1,5.277366077466188,CHEMBL4752390,1,,False
CC(=O)Nc1cc(Nc2ccc(F)cn2)c2cc(C(=O)O)[nH]c2c1,4.966576244513051,CHEMBL4761805,1,,False
CC(=O)Nc1cc(Nc2ccc(F)nc2)c2cc(C(=O)O)[nH]c2c1,4.414539270491499,CHEMBL4743717,1,,False
CC(=O)Nc1cc(Nc2ccc(OC(F)(F)F)cc2)c2cc(C(=O)O)[nH]c2c1,4.6252516539898965,CHEMBL4759065,1,,False
CC(=O)Nc1cc(Nc2ccc(OC(F)F)cc2)c2cc(C(=O)O)[nH]c2c1,5.497572880015567,CHEMBL4781631,1,,False
CC(=O)Nc1cc(Nc2cccc3[nH]ncc23)c2cc(C(=O)O)[nH]c2c1,5.123782159408358,CHEMBL4784589,1,,False
CC(=O)Nc1ccc(-c2[nH]cnc2-c2cccc(Br)c2)cc1,5.545221985379412,CHEMBL3797580,2,,False
CC(=O)Nc1ccc(-c2[nH]cnc2-c2ccccc2F)cc1,5.327902142064283,CHEMBL3800056,1,,False
CC(=O)Nc1ccc(S(=O)(=O)NN(C)c2ccc(Br)cc2)cc1,5.392009141452825,CHEMBL3310982,1,,False
CC(=O)Nc1ccc(S(=O)(=O)NNc2cc(Cl)cc(Cl)c2)cc1,6.453457336521869,CHEMBL3310972,1,,False
CC(=O)Nc1ccc(S(=O)(=O)NNc2cc(F)cc(F)c2)cc1,5.757955760630449,CHEMBL3310862,1,,False
CC(=O)Nc1ccc(S(=O)(=O)NNc2ccc(Br)c(C)c2)cc1,7.236572006437063,CHEMBL3310860,1,,False
CC(=O)Nc1ccc(S(=O)(=O)NNc2ccc(Br)c(F)c2)cc1,6.688246138944246,CHEMBL3310859,1,,False
CC(=O)Nc1ccc(S(=O)(=O)NNc2ccc(Br)cc2)cc1,6.886056647693163,CHEMBL3310854,1,,False
CC(=O)Nc1ccc(S(=O)(=O)NNc2ccc(C#N)cc2)cc1,5.246646787358504,CHEMBL3310849,1,,False
CC(=O)Nc1ccc(S(=O)(=O)NNc2ccc(C(F)(F)F)cc2)cc1,5.794524963259109,CHEMBL3310851,1,,False
CC(=O)Nc1ccc(S(=O)(=O)NNc2ccc(C)cc2)cc1,7.292429823902063,CHEMBL3310847,1,,False
CC(=O)Nc1ccc(S(=O)(=O)NNc2ccc(Cl)c(Cl)c2)cc1,6.607303046740334,CHEMBL3310864,1,,False
CC(=O)Nc1ccc(S(=O)(=O)NNc2ccc(Cl)c(F)c2)cc1,6.7121982700697735,CHEMBL3310861,1,,False
CC(=O)Nc1ccc(S(=O)(=O)NNc2ccc(Cl)cc2)cc1,6.809668301829708,CHEMBL3310853,1,,False
CC(=O)Nc1ccc(S(=O)(=O)NNc2ccc(F)c(Br)c2)cc1,6.892790030352131,CHEMBL3310857,1,,False
CC(=O)Nc1ccc(S(=O)(=O)NNc2ccc(F)c(Cl)c2)cc1,6.958607314841775,CHEMBL3310858,1,,False
CC(=O)Nc1ccc(S(=O)(=O)NNc2ccc(F)cc2)cc1,7.102372908709558,CHEMBL3310852,1,,False
CC(=O)Nc1ccc(S(=O)(=O)NNc2ccc(F)cc2F)cc1,6.216096420727265,CHEMBL3310863,1,,False
CC(=O)Nc1ccc(S(=O)(=O)NNc2ccc(S(N)(=O)=O)cc2)cc1,5.606424796730413,CHEMBL3310850,1,,False
CC(=O)Nc1ccc(S(=O)(=O)NNc2cccc(Br)c2)cc1,6.5934598195660445,CHEMBL3310856,1,,False
CC(=O)Nc1ccc(S(=O)(=O)NNc2cccc(C)c2)cc1,7.309803919971486,CHEMBL1342570,1,,False
CC(=O)Nc1ccc(S(=O)(=O)NNc2cccc(F)c2)cc1,6.913640169325252,CHEMBL3310855,1,,False
CC(=O)Nc1ccc(S(=O)(=O)NNc2ccccc2)cc1,7.1487416512809245,CHEMBL3310846,1,,False
