molecule_chembl_id,pref_name,clean_smiles,first_approval,pred_IDO1,pred_TDO2,pred_M,pred_D,LCB_IDO1,LCB_TDO2,LCB_dual,P_dual_active,P_balanced_dual,AD_maxTanimoto,in_domain
CHEMBL406393,DEOXYCHOLIC ACID,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,2015.0,5.47,5.21,5.34,0.25,4.04,4.04,4.04,0.039,0.039,0.159,False
CHEMBL3183075,NIZATIDINE,CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,1988.0,5.61,5.22,5.41,0.39,4.18,4.04,4.04,0.05,0.05,0.146,False
CHEMBL2107826,VIBEGRON,O=C(Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)[C@@H]1CCc2nccc(=O)n21,,6.76,5.22,5.99,1.54,5.33,4.04,4.04,0.094,0.066,0.237,False
CHEMBL3183184,OCTINOXATE,CCCCC(CC)COC(=O)C=Cc1ccc(OC)cc1,1992.0,5.51,5.21,5.36,0.3,4.09,4.04,4.04,0.044,0.044,0.267,False
CHEMBL4173394,BRILLIANT BLUE G,CCOc1ccc(Nc2ccc(/C(=C3C=C/C(=[N+](/CC)Cc4cccc(S(=O)(=O)[O-])c4)C=C/3C)c3ccc(N(CC)Cc4cccc(S(=O)(=O)[O-])c4)cc3C)cc2)cc1,2019.0,5.46,5.22,5.34,0.24,4.04,4.04,4.04,0.039,0.039,0.173,False
CHEMBL1133,OXYBUTYNIN CHLORIDE,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,1975.0,5.52,5.22,5.37,0.3,4.09,4.04,4.04,0.044,0.044,0.225,False
CHEMBL1200487,ETHACRYNATE SODIUM,C=C(CC)C(=O)c1ccc(OCC(=O)[O-])c(Cl)c1Cl,1967.0,5.74,5.21,5.47,0.52,4.31,4.04,4.04,0.061,0.055,0.21,False
CHEMBL1983268,ENTRECTINIB,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,2019.0,6.83,5.22,6.02,1.6,5.4,4.04,4.04,0.11,0.083,0.269,False
CHEMBL2103870,LUMACAFTOR,Cc1ccc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc1-c1cccc(C(=O)O)c1,2015.0,6.48,5.22,5.85,1.26,5.06,4.04,4.04,0.099,0.083,0.212,False
CHEMBL4208229,ASCIMINIB,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cc[nH]n2)c1,2021.0,6.45,5.21,5.83,1.25,5.03,4.03,4.03,0.094,0.077,0.255,False
CHEMBL2068724,ACAMPROSATE CALCIUM,CC(=O)NCCCS(=O)(=O)[O-],2004.0,5.46,5.23,5.35,0.22,4.03,4.06,4.03,0.05,0.05,0.154,False
CHEMBL1200908,HALOBETASOL PROPIONATE,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1990.0,5.62,5.21,5.41,0.41,4.19,4.03,4.03,0.05,0.044,0.17,False
