clean_smiles,pIC50_ido1,pIC50_tdo2,ido1_molid,tdo2_molid,src_doc,year,same_doc,M,D,scaffold
CCOC(=O)C(C(=O)OCC)=C1C(=O)Nc2ccccc21,6.031517051446065,4.148680487351255,CHEMBL4293426,CHEMBL4293426,CHEMBL4261541,2017,True,5.09009876939866,1.8828365640948102,C=C1C(=O)Nc2ccccc21
CCOP(=O)(CC)NCCNc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,7.394921031173379,5.5951662833800615,CHEMBL4472697,CHEMBL4472697,CHEMBL4406833,2019,True,6.49504365727672,1.7997547477933171,N=C(Nc1ccccc1)c1cnon1
CCOc1cc(Nc2cc(NC(C)=O)cc3[nH]c(C(=O)O)cc23)ccc1F,5.657577319177793,5.289882634888183,CHEMBL4761417,CHEMBL4761417,CHEMBL4680135,2020,True,5.473729977032988,0.36769468428961005,c1ccc(Nc2cccc3[nH]ccc23)cc1
CC[C@@H](C(=O)Nc1ccc(Cl)cc1)N1CCC2(CC1)COc1cc(C(F)(F)F)ccc12,7.182258126592544,4.943095148663527,CHEMBL4751227,CHEMBL4751227,CHEMBL4673358,2021,True,6.062676637628035,2.2391629779290163,O=C(CN1CCC2(CC1)COc1ccccc12)Nc1ccccc1
CC[C@H](C(=O)Nc1ccc(Cl)cc1)N1CCC2(CC1)COc1cc(C(F)(F)F)ccc12,6.962573502059376,4.809668301829708,CHEMBL4757995,CHEMBL4757995,CHEMBL4673358,2021,True,5.886120901944542,2.152905200229668,O=C(CN1CCC2(CC1)COc1ccccc12)Nc1ccccc1
CC[C@H](C(=O)Nc1ccc(Cl)cn1)[C@H]1CC[C@]2(CC1)COc1cc(C(F)(F)F)ccc12,7.324875990832918,4.578396073130169,CHEMBL4761104,CHEMBL4761104,CHEMBL4673358,2021,True,5.951636031981543,2.7464799177027492,O=C(CC1CCC2(CC1)COc1ccccc12)Nc1ccccn1
CC[C@H](C)c1sc2cncn2c1C(O)C1CCCCC1,6.764471553092451,6.016824927962187,CHEMBL5750760,CHEMBL5750760,CHEMBL5729017,2022,True,6.3906482405273195,0.7476466251302645,c1sc2cncn2c1CC1CCCCC1
CCc1ccc(C(O)c2c(C3CC3)sc3cncn23)cc1,7.221125527997261,5.815308569182402,CHEMBL5824782,CHEMBL5824782,CHEMBL5729017,2022,True,6.518217048589831,1.4058169588148592,c1ccc(Cc2c(C3CC3)sc3cncn23)cc1
CCc1cccc(C(O)c2c(C3CC3)sc3cncn23)c1,6.920818753952375,5.732828271596986,CHEMBL6001138,CHEMBL6001138,CHEMBL5729017,2022,True,6.326823512774681,1.1879904823553886,c1ccc(Cc2c(C3CC3)sc3cncn23)cc1
CCc1sc2cncn2c1C(O)C1(C)CCCC1,8.303643611266669,7.542118103266008,CHEMBL5911062,CHEMBL5911062,CHEMBL5729017,2022,True,7.922880857266338,0.7615255080006609,c1sc2cncn2c1CC1CCCC1
