clean_smiles,pIC50,molecule_chembl_id,n,pref_name,pains,MW,LogP,TPSA,QED,scaffold
FC(F)(F)c1cccc(-c2nccc3c2[nH]c2ccccc23)c1,5.268411234813262,CHEMBL5196062,1,,False,312.29400000000004,5.401900000000003,28.68,0.5005328134086657,c1ccc(-c2nccc3c2[nH]c2ccccc23)cc1
FC(F)(F)c1cccc(CNc2cc(C(F)(F)F)cc3[nH]ncc23)c1,4.913640169325252,CHEMBL5174239,1,,False,359.273,5.212600000000001,40.71,0.6302935892503154,c1ccc(CNc2cccc3[nH]ncc23)cc1
Fc1cc2[nH]cc(-c3cccnc3)c2cc1F,5.552841968657781,CHEMBL5956557,1,,False,230.21699999999998,3.5081000000000007,28.68,0.6804654782233055,c1cncc(-c2c[nH]c3ccccc23)c1
Fc1ccc(N2CCC(C3c4c(F)cccc4-c4cncn43)CC2)cc1F,7.161780778092374,CHEMBL5894181,1,,False,369.3900000000001,4.786800000000004,21.060000000000002,0.6478109153592913,c1ccc(N2CCC(C3c4ccccc4-c4cncn43)CC2)cc1
Fc1ccc2c(-c3ccc(N4CCOCC4)nc3)c[nH]c2c1,6.267606240177032,CHEMBL5824386,1,,False,297.33299999999997,3.2056000000000013,41.15,0.7894543531827757,c1ccc2c(-c3ccc(N4CCOCC4)nc3)c[nH]c2c1
Fc1ccc2c(-c3ccc(NC4CCNCC4)nc3)c[nH]c2c1,6.060480747381382,CHEMBL5939651,1,,False,310.376,3.5329000000000015,52.74,0.6934521125855528,c1ccc2c(-c3ccc(NC4CCNCC4)nc3)c[nH]c2c1
Fc1ccc2c(-c3ccc(OC4CCNCC4)nc3)c[nH]c2c1,6.251811972993799,CHEMBL5886864,1,,False,311.35999999999996,3.4998000000000014,49.94,0.7781528560990112,c1ccc2c(-c3ccc(OC4CCNCC4)nc3)c[nH]c2c1
Fc1ccc2c(-c3ccc4[nH]nnc4c3)c[nH]c2c1,6.828788659588897,CHEMBL4862796,2,,False,252.25200000000004,3.2453000000000003,57.36,0.5460301866661812,c1ccc2c(-c3ccc4[nH]nnc4c3)c[nH]c2c1
Fc1ccc2c(-c3ccc4nnn(CCN5CCNCC5)c4c3)c[nH]c2c1,6.154901959985743,CHEMBL4875970,3,,False,364.42800000000005,2.6239,61.77,0.584407025171677,c1ccc2c(-c3ccc4nnn(CCN5CCNCC5)c4c3)c[nH]c2c1
Fc1ccc2c(-c3cccnc3)c[nH]c2c1,6.070581074285707,CHEMBL5846232,1,,False,212.22700000000003,3.3690000000000015,28.68,0.6578214754098403,c1cncc(-c2c[nH]c3ccccc23)c1
Fc1ccc2c(/C=C/c3cccnc3)c[nH]c2c1,6.440083487556502,CHEMBL355606,14,,False,238.26500000000004,3.8724000000000025,28.68,0.7208706564096137,C(=C/c1c[nH]c2ccccc12)\c1cccnc1
