clean_smiles,pIC50,molecule_chembl_id,n_measurements,pref_name,pains,MW,LogP,HBD,HBA,TPSA,RotB,AromRings,QED,HeavyAtoms,scaffold,tsne1,tsne2
Brc1ccc2[nH]c(-c3cncn3Cc3ccc(-c4ccccc4)cc3)cc2c1,4.467247488450805,CHEMBL4162371,2,,False,428.3330000000001,6.509200000000004,1.0,1.0,33.61,4.0,5.0,0.34795110477974617,28.0,c1ccc(-c2ccc(Cn3cncc3-c3cc4ccccc4[nH]3)cc2)cc1,-24.387175,9.901872
Brc1ccc2[nH]c(-c3cncn3Cc3ccccc3)cc2c1,4.876258869661473,CHEMBL4165816,2,,False,352.235,4.842200000000003,1.0,1.0,33.61,3.0,4.0,0.5622908209012298,22.0,c1ccc(Cn2cncc2-c2cc3ccccc3[nH]2)cc1,-24.28431,10.0305805
Brc1ccc2[nH]c(Cn3cncc3-c3ccc[nH]3)cc2c1,6.510041520575165,CHEMBL5938071,1,,False,341.212,4.170300000000002,2.0,1.0,49.4,3.0,4.0,0.5772921002254556,21.0,c1c[nH]c(-c2cncn2Cc2cc3ccccc3[nH]2)c1,-24.36985,10.402016
Brc1ccc2[nH]c(Cn3cncc3-c3ccccc3)cc2c1,5.903089986991944,CHEMBL4177139,2,,False,352.235,4.842200000000003,1.0,1.0,33.61,3.0,4.0,0.5622908209012298,22.0,c1ccc(-c2cncn2Cc2cc3ccccc3[nH]2)cc1,-24.601091,9.923765
Brc1cccc(-c2[nH]cnc2-c2ccccc2)c1,5.772577569995745,CHEMBL3800616,2,,False,299.171,4.506200000000002,1.0,1.0,28.68,2.0,3.0,0.7409219198775121,18.0,c1ccc(-c2nc[nH]c2-c2ccccc2)cc1,-13.697966,-4.0195527
Brc1cccc(-c2c[nH]nn2)c1,5.86292107536816,CHEMBL382312,2,,False,224.061,2.2341999999999995,1.0,2.0,41.57,1.0,2.0,0.8063526247483971,12.0,c1ccc(-c2c[nH]nn2)cc1,-13.083179,-2.860263
Brc1cccc(-c2nccc3c2[nH]c2ccccc23)c1,5.305394801066432,CHEMBL5172850,1,,False,323.19300000000004,5.145600000000003,1.0,1.0,28.68,1.0,4.0,0.5157547325833836,20.0,c1ccc(-c2nccc3c2[nH]c2ccccc23)cc1,-20.56061,-7.180822
Brc1cccc(C(Cn2ccnc2)OCc2nc3ccccc3s2)c1,5.431798275933005,CHEMBL4792640,1,,False,414.32800000000015,5.213400000000003,0.0,4.0,39.94,6.0,4.0,0.43477985724130597,25.0,c1ccc(C(Cn2ccnc2)OCc2nc3ccccc3s2)cc1,-77.52821,0.84501743
Brc1ccccc1-c1cnn[nH]1,4.969273760456403,CHEMBL1909733,4,,False,224.061,2.2341999999999995,1.0,2.0,41.57,1.0,2.0,0.8063526247483971,12.0,c1ccc(-c2cnn[nH]2)cc1,-17.560253,-4.5926104
Brc1ccccc1/C=C/C1c2ccccc2-c2cncn21,5.259637310505756,CHEMBL5900813,1,,False,337.2200000000001,4.928800000000003,0.0,1.0,17.82,2.0,3.0,0.6483655641714281,21.0,C(=C\C1c2ccccc2-c2cncn21)/c1ccccc1,-54.68518,12.437975
C#CCNS(=O)(=O)CCNc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,6.661543506395395,CHEMBL4646789,1,,False,461.273,1.1836000000000002,4.0,8.0,141.74,8.0,2.0,0.1510577953635475,27.0,N=C(Nc1ccccc1)c1cnon1,50.49466,-1.9425242
C#CCOc1cccc(Oc2ccc(-c3ccc(OC)c(C(=O)O)c3)cc2NC(=O)Nc2ccc(C)cc2)c1C,6.83889035263304,CHEMBL4094668,2,,False,536.5840000000002,7.125540000000006,3.0,5.0,106.12,9.0,4.0,0.19664416265469306,40.0,O=C(Nc1ccccc1)Nc1cc(-c2ccccc2)ccc1Oc1ccccc1,10.922199,-69.93697
C#CCOc1cccc(Oc2ccc(-c3ccc(OC)c(C(=O)O)c3)cc2NC(=O)Nc2ccccc2Cl)c1C,7.154901959985743,CHEMBL6064497,1,,False,557.0020000000001,7.470520000000006,3.0,5.0,106.12,9.0,4.0,0.1846012802109822,40.0,O=C(Nc1ccccc1)Nc1cc(-c2ccccc2)ccc1Oc1ccccc1,9.0196495,-71.50532
C#Cc1cc(C(O)Cc2ccccc2)c2cn[nH]c2c1,5.130768280269024,CHEMBL4565566,3,,False,262.312,2.8203000000000005,2.0,2.0,48.910000000000004,3.0,3.0,0.7130111230106357,20.0,c1ccc(CCc2cccc3[nH]ncc23)cc1,-31.890059,-7.965534
C#Cc1cccc(Nc2c(N)oc3c(C)nccc23)c1,6.4604093769761874,CHEMBL4279234,2,,False,263.29999999999995,3.443320000000001,2.0,4.0,64.08,2.0,3.0,0.6950282690941803,20.0,c1ccc(Nc2coc3cnccc23)cc1,15.213684,-20.173658
C#Cc1cccc(Nc2c(N)oc3cnccc23)c1,6.4604093769761874,CHEMBL4281187,2,,False,249.273,3.134900000000001,2.0,4.0,64.08,2.0,3.0,0.6847194525763983,19.0,c1ccc(Nc2coc3cnccc23)cc1,16.135702,-20.511518
C#Cc1cccc(Nc2c(N)sc3ccccc23)c1,6.4604093769761874,CHEMBL4279010,2,,False,264.353,4.208400000000002,2.0,3.0,38.05,2.0,3.0,0.6804188529207502,19.0,c1ccc(Nc2csc3ccccc23)cc1,9.907891,-16.803955
C/C(=C\C(=O)O)c1ccc(N(CC(C)C)CC(C)C)c(NC(=O)N/N=C/c2ccc(Cl)cc2)c1,5.4907620972629605,CHEMBL4577845,2,,True,485.02800000000013,6.101900000000006,3.0,4.0,94.03,10.0,2.0,0.21549407435048354,34.0,O=C(N/N=C/c1ccccc1)Nc1ccccc1,19.678833,-54.657997
C/C(=C\C(=O)O)c1ccc(N(CC(C)C)CC(C)C)c(NC(=O)N/N=C/c2ccccc2F)c1,5.35282200742742,CHEMBL4473042,2,,True,468.5730000000001,5.5876000000000055,3.0,4.0,94.03,10.0,2.0,0.2407594226682833,34.0,O=C(N/N=C/c1ccccc1)Nc1ccccc1,19.763235,-55.665516
C/C(=C\C(=O)O)c1ccc(N2CCOCC2)c(-n2cc(CNc3ccc(F)cc3)nn2)c1,4.466247533237656,CHEMBL4567864,2,,True,437.475,3.3430000000000017,2.0,6.0,92.50999999999999,7.0,3.0,0.5478485816024365,32.0,c1ccc(NCc2cn(-c3ccccc3N3CCOCC3)nn2)cc1,-8.688316,15.7363205
C/C1=C/C=C\C=C\[C@H](C)[C@@H](O)CC(=O)/C(C)=C/C[C@H](O)/C=C/[C@H](C)[C@H](O)[C@@H](C)/C=C(\C)C(=O)c2c(O)c(C)cc3c2C(=O)C(Cl)=C(NC1=O)C3=O,6.356547323513812,CHEMBL2172467,1,NAPHTHOMYCIN A,True,720.259,5.690320000000008,5.0,9.0,178.3,0.0,1.0,0.2107888652035159,51.0,O=C1/C=C/CC/C=C/CCCC=CC(=O)c2cccc3c2C(=O)C=C(NC(=O)C=C/C=C\C=C\CCC1)C3=O,-18.65682,-37.716328
C/C=C/Cc1cc(-c2ccccc2-c2nnn[nH]2)cc(NC(=O)Nc2ccc(C)cc2)c1OCCC,7.522878745280337,CHEMBL5822735,1,,False,482.5880000000003,6.393520000000005,3.0,5.0,104.82000000000001,9.0,4.0,0.23967536129419187,36.0,O=C(Nc1ccccc1)Nc1cccc(-c2ccccc2-c2nnn[nH]2)c1,9.414083,-56.912537
C/N=C(N)/N=C(\N)Nc1cc2ccccc2c2ccccc12,5.823908740944319,CHEMBL425403,3,,False,291.35800000000006,2.6641000000000004,3.0,1.0,88.78999999999999,1.0,3.0,0.36565848744070834,22.0,c1ccc2c(c1)ccc1ccccc12,-13.973383,-14.531127
C/N=C(\NC)SCc1ccc(Cl)cc1,4.6777807052660805,CHEMBL1224488,1,,False,228.74800000000002,2.7784000000000013,1.0,2.0,24.39,2.0,1.0,0.6220072603669162,14.0,c1ccccc1,-1.1822542,-4.1819806
C=C1C[C@@H](c2ccc(O)cc2O)Oc2c(CC=C(C)C)c(O)c(CC=C(C)C)c(O)c21,5.356547323513812,CHEMBL5290819,1,,False,422.5210000000002,6.063400000000008,4.0,5.0,90.15,5.0,2.0,0.43960267326257235,31.0,C=C1C[C@@H](c2ccccc2)Oc2ccccc21,-18.338175,-34.84439
C=C1OC2=C(C(=O)c3ccccc3C2=O)C1(C)C,5.995678626217358,CHEMBL4751617,1,,True,240.25799999999998,2.889800000000001,0.0,3.0,43.370000000000005,0.0,1.0,0.6999190213368138,18.0,C=C1CC2=C(O1)C(=O)c1ccccc1C2=O,-20.685955,-29.902155
C=CC(c1ccccc1)c1cc(-c2ccccc2-c2nnn[nH]2)cc(NC(=O)Nc2ccc(C)cc2)c1OCCC,7.522878745280337,CHEMBL6013805,1,,False,544.659,7.592820000000007,3.0,5.0,104.82000000000001,10.0,5.0,0.1571199394942849,41.0,O=C(Nc1ccccc1)Nc1cc(Cc2ccccc2)cc(-c2ccccc2-c2nnn[nH]2)c1,9.968835,-56.808945
C=CC1(C=C)Oc2c(NC(=O)Nc3ccc(C)cc3)cc(-c3ccccc3-c3nn[nH]n3)cc2[C@@H]1c1ccccc1,8.468521082957745,CHEMBL5279540,1,,False,540.6270000000003,7.121220000000006,3.0,5.0,104.82000000000001,7.0,5.0,0.19068211023570478,41.0,O=C(Nc1ccccc1)Nc1cc(-c2ccccc2-c2nn[nH]n2)cc2c1OC[C@H]2c1ccccc1,11.011181,-59.484493
C=CCNC1C2=C(OC(C)(C)C1O)C(=O)c1ccccc1C2=O,6.730487055782084,CHEMBL261178,2,,True,313.35300000000007,1.6335999999999997,2.0,5.0,75.63,3.0,1.0,0.8297193911247769,23.0,O=C1C2=C(OCCC2)C(=O)c2ccccc21,-21.697088,-30.444595
C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,4.638272163982407,CHEMBL356918,1,ENILCONAZOLE,False,297.18500000000006,4.133800000000003,0.0,2.0,27.05,6.0,2.0,0.74944613446092,19.0,c1ccc(CCn2ccnc2)cc1,-74.76685,-0.16107309
C=CCON=C1c2cc([N+](=O)[O-])ccc2-n2c1nc1ncccc1c2=O,5.259637310505756,CHEMBL5909424,1,,False,349.3060000000001,1.9572999999999998,0.0,7.0,112.50999999999999,4.0,3.0,0.2408218286368831,26.0,N=C1c2ccccc2-n2c1nc1ncccc1c2=O,-49.270866,-23.55303
C=CCSC(=S)NCc1cc2ccccc2[nH]1,4.432385557269155,CHEMBL202872,1,,True,262.40299999999996,3.4616000000000007,2.0,2.0,27.82,4.0,2.0,0.6526019857835743,17.0,c1ccc2[nH]ccc2c1,-27.831839,-0.08386524
C=CCn1c(SCC(=O)Nc2ccc(F)cc2)nc2scc(-c3ccc(F)cc3)c2c1=O,7.221848749616356,CHEMBL6167045,3,,False,469.5380000000002,5.320000000000003,1.0,5.0,63.99,7.0,4.0,0.22607210394386734,32.0,O=C(CSc1nc2scc(-c3ccccc3)c2c(=O)[nH]1)Nc1ccccc1,-4.9290214,14.482304
C=CCn1c(SCC(=O)Nc2ccccc2)nc2scc(-c3ccc(F)cc3)c2c1=O,6.651695136951839,CHEMBL6164062,1,,False,451.54800000000023,5.180900000000004,1.0,5.0,63.99,7.0,4.0,0.23888045172939568,31.0,O=C(CSc1nc2scc(-c3ccccc3)c2c(=O)[nH]1)Nc1ccccc1,-4.922762,14.323943
C=C[C@@H]1Oc2c(NC(=O)Nc3ccc(C)cc3)cc(-c3ccccc3-c3nn[nH]n3)cc2[C@@H]1c1ccccc1,8.229147988357855,CHEMBL5269992,1,,False,514.5890000000002,6.565020000000005,3.0,5.0,104.82000000000001,6.0,5.0,0.22250372340730062,39.0,O=C(Nc1ccccc1)Nc1cc(-c2ccccc2-c2nn[nH]n2)cc2c1OC[C@H]2c1ccccc1,11.006304,-59.467033
C=C[C@H]1Oc2c(NC(=O)Nc3ccc(C)cc3)cc(-c3ccccc3-c3nn[nH]n3)cc2[C@@H]1c1ccccc1,7.920818753952375,CHEMBL5285519,1,,False,514.5890000000002,6.565020000000005,3.0,5.0,104.82000000000001,6.0,5.0,0.22250372340730062,39.0,O=C(Nc1ccccc1)Nc1cc(-c2ccccc2-c2nn[nH]n2)cc2c1OC[C@H]2c1ccccc1,11.006609,-59.466896
C=Cc1cc(OC)c2c(c1)c(=O)oc1c2cc(OC)c2c(O)ccc([C@@H]3O[C@H](C)[C@H](O)[C@@](C)(O)[C@H]3O)c21,4.645891560852599,CHEMBL4072918,1,,False,508.5230000000002,3.3978000000000033,4.0,9.0,138.82000000000002,4.0,4.0,0.2412616977718421,37.0,O=c1oc2c(ccc3cccc([C@H]4CCCCO4)c32)c2ccccc12,-16.421331,-34.212463
C=Cc1sc2cncn2c1C(O)C1CCCCC1,7.841637507904751,CHEMBL5879847,1,,False,262.378,3.6525000000000016,1.0,3.0,37.53,3.0,2.0,0.9163958933961832,18.0,c1sc2cncn2c1CC1CCCCC1,-28.2846,41.121796
C=Cc1sc2cncn2c1C(O)CC1CCCCC1,7.978810700930062,CHEMBL5807169,1,,False,276.40500000000003,4.042600000000003,1.0,3.0,37.53,4.0,2.0,0.9146764655756139,19.0,c1sc2cncn2c1CCC1CCCCC1,-32.93244,40.549698
C=Cc1sc2cncn2c1[C@@H](O)C1CCCCC1,8.334419008982048,CHEMBL5991135,1,,False,262.378,3.6525000000000016,1.0,3.0,37.53,3.0,2.0,0.9163958933961832,18.0,c1sc2cncn2c1CC1CCCCC1,-28.284706,41.121857
CC#CCSc1nonc1C(=N)Nc1ccc(F)c(Br)c1,6.772113295386326,CHEMBL5771810,1,,False,369.21900000000005,3.524070000000002,2.0,5.0,74.8,4.0,2.0,0.37336936922961894,21.0,N=C(Nc1ccccc1)c1cnon1,44.471043,-35.746502
CC(=O)/C=C1\C(=O)Nc2ccc(Cl)cc21,6.443697499232712,CHEMBL4290045,1,,False,221.643,2.2645,1.0,2.0,46.17,1.0,1.0,0.7398154207846749,15.0,C=C1C(=O)Nc2ccccc21,-2.610571,1.1991006
CC(=O)/C=C1\C(=O)Nc2ccccc21,5.772113295386326,CHEMBL1213045,1,,False,187.198,1.6111,1.0,2.0,46.17,1.0,1.0,0.6787274201266194,14.0,C=C1C(=O)Nc2ccccc21,-20.706871,-23.554636
CC(=O)CC(=O)/C=C1\C(=O)Nc2ccc(Cl)cc21,6.721246399047171,CHEMBL4279365,1,,False,263.68,2.2237,1.0,3.0,63.24,3.0,1.0,0.6717967645130981,18.0,C=C1C(=O)Nc2ccccc21,-2.6240585,1.1045907
CC(=O)CC(=O)CC1(O)C(=O)Nc2ccc(Cl)cc21,6.050609993355087,CHEMBL4289204,1,,False,281.695,1.4179999999999997,2.0,4.0,83.47,4.0,1.0,0.8176957682428803,19.0,O=C1Cc2ccccc2N1,-2.6008797,1.0665393
CC(=O)CC(=O)CC1(O)C(=O)Nc2ccccc21,6.346787486224656,CHEMBL4294515,1,,False,247.25,0.7645999999999998,2.0,4.0,83.47,4.0,1.0,0.7694535461651999,18.0,O=C1Cc2ccccc2N1,-20.513292,-23.213787
CC(=O)CC1(O)C(=O)Nc2ccc(Cl)cc21,5.705533773838407,CHEMBL4278865,1,,False,239.658,1.4587999999999997,2.0,3.0,66.39999999999999,2.0,1.0,0.8211951261093419,16.0,O=C1Cc2ccccc2N1,-2.589924,1.0887715
CC(=O)CSc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,7.292429823902063,CHEMBL5842714,1,,False,389.2060000000001,2.9002000000000008,2.0,7.0,100.61,5.0,2.0,0.2666555019766533,22.0,N=C(Nc1ccccc1)c1cnon1,56.987442,-30.531612
CC(=O)N1CCC(C(O)CC2c3ccccc3-c3cncn32)CC1,5.930848650916859,CHEMBL4566253,2,,False,325.4120000000001,2.4624000000000006,1.0,3.0,58.36000000000001,3.0,2.0,0.9429333737059876,24.0,c1ccc2c(c1)-c1cncn1C2CCC1CCNCC1,-61.236572,9.4839945
CC(=O)N1CCC(Sc2nonc2/C(=N/O)Nc2ccc(F)c(Br)c2)CC1,7.001304841688344,CHEMBL5804364,1,,False,458.31300000000016,3.3221000000000007,2.0,7.0,103.85000000000001,4.0,2.0,0.3136183934811642,27.0,N=C(Nc1ccccc1)c1nonc1SC1CCNCC1,51.959137,-26.524235
CC(=O)N1CCC(c2cc(C(F)(F)F)cn3cncc23)CC1,4.1791420105603,CHEMBL5938798,1,,False,311.3070000000001,3.0790000000000015,0.0,2.0,37.61,1.0,2.0,0.8114839751801965,22.0,c1cc(C2CCNCC2)c2cncn2c1,-35.7243,18.200357
CC(=O)N1CCC2(CC1)CCN(c1cc(C(F)(F)F)cc3cncn13)CC2,5.199970640755866,CHEMBL5859961,1,,False,380.4140000000001,3.5820000000000025,0.0,3.0,40.85000000000001,1.0,2.0,0.7593711008738203,27.0,c1cc(N2CCC3(CCNCC3)CC2)n2cncc2c1,-36.23731,20.072247
CC(=O)N1CCN(C(=O)c2ccc(Cn3nnc4c3C(=O)c3ccccc3C4=O)cc2)CC1,5.959793372425289,CHEMBL3628600,1,,True,443.4630000000003,1.4060999999999997,0.0,6.0,105.47,3.0,3.0,0.4740765653322905,33.0,O=C1c2ccccc2C(=O)c2c1nnn2Cc1ccc(C(=O)N2CCNCC2)cc1,-26.406303,-55.049812
CC(=O)N1CCN(C(=O)c2cccc(Cn3nnc4c3C(=O)c3ccccc3C4=O)c2)CC1,6.220403508742176,CHEMBL3628597,1,,True,443.4630000000003,1.4061000000000001,0.0,6.0,105.47,3.0,3.0,0.4740765653322905,33.0,O=C1c2ccccc2C(=O)c2c1nnn2Cc1cccc(C(=O)N2CCNCC2)c1,-26.785511,-54.57002
CC(=O)N1CCN(c2cc(C(F)(F)F)cc3cncn23)CC1,4.7594507517174005,CHEMBL5934542,1,,False,312.2950000000001,2.0216000000000003,0.0,3.0,40.85000000000001,1.0,2.0,0.8088015541531486,22.0,c1cc(N2CCNCC2)n2cncc2c1,-36.09439,19.613476
CC(=O)N1CCN(c2cc(C(F)(F)F)cn3cncc23)CC1,4.0,CHEMBL5816105,1,,False,312.2950000000001,2.0216,0.0,3.0,40.85000000000001,1.0,2.0,0.8088015541531486,22.0,c1cc(N2CCNCC2)c2cncn2c1,-35.62979,18.405067
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,4.548455006504028,CHEMBL157101,2,KETOCONAZOLE,True,531.4399999999999,4.205800000000003,0.0,6.0,69.06,7.0,3.0,0.45541449702144693,36.0,c1ccc(C2(Cn3ccnc3)OCC(COc3ccc(N4CCNCC4)cc3)O2)cc1,-72.55637,0.32971913
CC(=O)N1CCc2cc(S(=O)(=O)NNc3ccc(Br)cc3)ccc21,7.460923901207224,CHEMBL3764319,1,,False,410.29300000000006,2.663500000000001,2.0,4.0,78.51,4.0,2.0,0.7602608451927079,24.0,O=S(=O)(NNc1ccccc1)c1ccc2c(c1)CCN2,22.753393,-38.843033
CC(=O)NC(CO)COc1nonc1/C(=N/O)N[C@H]1Cc2ccc(F)cc21,6.476253533188435,CHEMBL5945250,1,,False,379.34800000000007,0.1073000000000004,4.0,8.0,142.1,7.0,2.0,0.22975736825839044,27.0,N=C(N[C@H]1Cc2ccccc21)c1cnon1,41.554,49.784252
CC(=O)NC12CC(NC(=O)C(C)[C@H]3[C@@H]4C[C@@H](Oc5ccnc6ccc(F)cc56)C[C@@H]43)(C1)C2,6.376750709602099,CHEMBL5930506,1,,False,437.5150000000002,3.3408000000000015,2.0,4.0,80.32000000000001,6.0,2.0,0.7265100448322226,32.0,O=C(C[C@@H]1[C@H]2C[C@H](Oc3ccnc4ccccc34)C[C@@H]12)NC12CC(C1)C2,-5.4818783,60.535423
CC(=O)NC1=CC(=O)c2cc(O[C@@H]3O[C@@H](C)[C@@H](O)[C@@H](O)[C@H]3O)c(C)cc2C1=O,6.251811972993799,CHEMBL4126044,1,,True,391.37600000000015,-0.3996800000000005,4.0,8.0,142.39000000000001,3.0,1.0,0.5452109362335762,28.0,O=C1C=CC(=O)c2cc(O[C@H]3CCCCO3)ccc21,-15.916257,-36.05665
CC(=O)NC1CCN(C(=O)c2nn(CC(=O)N3CCN(c4cccc(C)c4Cl)CC3)c3c2C2CCCCC2C3)CC1,9.229147988357855,CHEMBL4861457,1,,False,581.1610000000002,3.7643200000000023,1.0,5.0,90.78,5.0,2.0,0.58145408465212,41.0,O=C(Cn1nc(C(=O)N2CCCCC2)c2c1CC1CCCCC21)N1CCN(c2ccccc2)CC1,-29.95779,-18.777155
CC(=O)NCC(C)Nc1nonc1/C(=N/O)N[C@H]1Cc2ccc(F)cc21,6.863279432843593,CHEMBL5912329,1,,False,362.3650000000001,1.1679999999999997,4.0,7.0,124.67,6.0,2.0,0.26303786169100585,26.0,N=C(N[C@H]1Cc2ccccc21)c1cnon1,32.840717,33.266438
CC(=O)NCCNc1nonc1/C(=N/O)N[C@H]1Cc2ccc(F)cc21,7.366531544420414,CHEMBL4582972,3,,False,348.3380000000001,0.7794999999999996,4.0,7.0,124.67,6.0,2.0,0.19982849580735362,25.0,N=C(N[C@H]1Cc2ccccc21)c1cnon1,32.744938,31.017138
CC(=O)NCCNc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,7.223665891943903,CHEMBL4083203,2,,False,401.1960000000001,1.7670999999999994,4.0,7.0,124.67,6.0,2.0,0.19119334441194163,24.0,N=C(Nc1ccccc1)c1cnon1,50.82875,6.5876675
CC(=O)NCCONc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,6.790484985457369,CHEMBL5990782,1,,False,417.19500000000005,1.6986999999999999,4.0,8.0,133.9,7.0,2.0,0.17592384340360975,25.0,N=C(Nc1ccccc1)c1cnon1,42.035496,3.689635
CC(=O)NCCOc1nonc1/C(=N/O)N[C@H]1Cc2ccc(F)cc21,7.232844133917819,CHEMBL5782911,1,,False,349.32200000000006,0.7463999999999998,3.0,7.0,121.87,6.0,2.0,0.23116488479264843,25.0,N=C(N[C@H]1Cc2ccccc21)c1cnon1,41.206436,47.676933
CC(=O)NCCOc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,7.322393047279507,CHEMBL5771949,1,,False,402.18000000000006,1.7339999999999993,3.0,7.0,121.87,6.0,2.0,0.22122381315941028,24.0,N=C(Nc1ccccc1)c1cnon1,42.408115,4.5481925
CC(=O)NCCSc1nonc1/C(=N/O)NC1CCc2ccc(Br)cc21,5.707743928643524,CHEMBL5872818,3,,False,440.3230000000002,2.4732000000000003,3.0,7.0,112.64000000000001,6.0,2.0,0.1580096173437675,26.0,N=C(NC1CCc2ccccc21)c1cnon1,53.42247,33.709064
CC(=O)NCCSc1nonc1/C(=N/O)NC1CCc2ccc(Cl)cc21,7.069560405233299,CHEMBL6002994,1,,False,395.87200000000024,2.3640999999999996,3.0,7.0,112.64000000000001,6.0,2.0,0.17172000043015984,26.0,N=C(NC1CCc2ccccc21)c1cnon1,53.92888,34.377823
CC(=O)NCCSc1nonc1/C(=N/O)NC1Cc2c(F)cccc21,4.47716468633947,CHEMBL5835484,1,,False,365.39000000000016,1.4596999999999996,3.0,7.0,112.64000000000001,6.0,2.0,0.17735619109320688,25.0,N=C(NC1Cc2ccccc21)c1cnon1,55.30302,36.47376
CC(=O)NCCSc1nonc1/C(=N/O)N[C@@H]1CCc2ccccc21,4.921905849593589,CHEMBL6016472,1,,False,361.4270000000002,1.7106999999999992,3.0,7.0,112.64000000000001,6.0,2.0,0.1792349289100213,25.0,N=C(N[C@@H]1CCc2ccccc21)c1cnon1,54.448097,34.800865
CC(=O)NCCSc1nonc1/C(=N/O)N[C@@H]1Cc2c(Cl)cccc21,5.710188160882378,CHEMBL6055552,1,,False,381.8450000000002,1.9739999999999998,3.0,7.0,112.64000000000001,6.0,2.0,0.17497237171361604,25.0,N=C(N[C@@H]1Cc2ccccc21)c1cnon1,55.473263,35.83222
CC(=O)NCCSc1nonc1/C(=N/O)N[C@@H]1Cc2ccc(F)cc21,5.663540266151471,CHEMBL5838557,1,,False,365.39000000000016,1.4596999999999996,3.0,7.0,112.64000000000001,6.0,2.0,0.17735619109320688,25.0,N=C(N[C@@H]1Cc2ccccc21)c1cnon1,51.812122,39.215866
