r_from,r_to,n_pairs,dM,dD,dIDO1,dTDO2
C1CC(*)C1,CC1(*)CCCCC1,2,0.47,-0.53,0.21,0.74
C1CC(*)C1,CC(C1CCCCC1)*,2,-0.27,-0.45,-0.49,-0.04
C1CC(*)C1,CC(C)C1CCC(*)CC1,2,-0.62,-0.42,-0.83,-0.41
C1CC(*)C1,CC(C)(C)C1CCC(*)CC1,2,-0.98,-0.68,-1.32,-0.64
c1ccc(C2CCC(*)CC2)cc1,OC1CCC(*)CC1,2,0.33,0.25,0.46,0.2
c1ccc(C2CCC(*)CC2)cc1,C1CCCC(*)CC1,2,0.82,0.01,0.83,0.81
c1ccc(C2CCC(*)CC2)cc1,C1CCC(*)CC1,2,0.83,0.0,0.83,0.83
C1CC(*)C1,C1CCCC(*)CC1,2,0.27,-0.02,0.26,0.27
C1CC(*)C1,OC1CCC(*)CC1,2,-0.22,0.23,-0.11,-0.34
C1CCC2CC(*)CCC2C1,CC(C)(C)C1CCC(*)CC1,2,-0.42,-0.04,-0.44,-0.4
C1CCC2CC(*)CCC2C1,CC(C)C1CCC(*)CC1,2,-0.06,0.21,0.05,-0.17
C1CCC2CC(*)CCC2C1,OC1CCC(*)CC1,2,0.34,0.86,0.77,-0.09
C1CCC2CC(*)CCC2C1,c1ccc(*)cc1,2,0.26,0.18,0.36,0.17
C1CCC2CC(*)CCC2C1,C1CCCC(*)CC1,2,0.83,0.62,1.14,0.52
C1CCC2CC(*)CCC2C1,C1CCC(*)CC1,2,0.84,0.61,1.14,0.53
C1CCC2CC(*)CCC2C1,c1ccc(C2CCCC2*)cc1,2,-0.2,0.6,0.1,-0.5
C1CCC2CC(*)CCC2C1,C1CCC(*)C1,2,0.84,0.66,1.17,0.51
C1CCC2CC(*)CCC2C1,FC(F)(F)C1CCCC(*)C1,2,0.33,0.32,0.49,0.17
C1CCC2CC(*)CCC2C1,C1CC(*)C1,2,0.56,0.64,0.88,0.24
C1CCC2CC(*)CCC2C1,c1ccc(C2CCC(*)CC2)cc1,2,0.01,0.61,0.31,-0.3
C1CCC2CC(*)CCC2C1,C1CC(C2CCC(*)CC2)C1,2,-0.1,0.25,0.03,-0.23
C1CCC2CC(*)CCC2C1,FC(F)(F)C1CCC(*)CC1,2,0.47,0.26,0.6,0.34
C1CCC2CC(*)CCC2C1,Cc1ccccc1*,2,-0.19,-0.51,-0.44,0.06
C1CCC2CC(*)CCC2C1,COC1CCCC(*)C1,2,0.23,0.7,0.58,-0.12
C1CCC2CC(*)CCC2C1,CCC1CCC(*)CC1,2,0.39,0.55,0.66,0.11
C1CCC2CC(*)CCC2C1,CC1CCCC(*)C1,2,0.81,0.62,1.12,0.5
C1CCC2CC(*)CCC2C1,CC1CCC(*)CC1,2,0.7,0.51,0.95,0.45
C1CCC2CC(*)CCC2C1,CC1(C)CCCC(*)C1,2,0.61,0.07,0.64,0.57
C1CCC2CC(*)CCC2C1,CC1(C)CCC(*)CC1,2,0.59,0.36,0.77,0.4
C1CCC2CC(*)CCC2C1,CC1(C)CCC(*)C1,2,0.82,0.31,0.97,0.66
C1CCC2CC(*)CCC2C1,CC1(*)CCCCC1,2,1.03,0.11,1.09,0.98
C1CCC2CC(*)CCC2C1,CC(C1CCCCC1)*,2,0.29,0.19,0.39,0.2
Clc1cccc(*)c1,Cc1ccc(*)cc1,2,-0.08,-0.07,-0.12,-0.04
C1CN(*)CCN1,CN(C)*,2,-0.06,0.03,-0.04,-0.07
Fc1cccc(*)c1,COc1ccccc1*,2,-0.99,0.09,-0.95,-1.04
OC(CC1CCCC1)*,CC1CCC(C(O)*)CC1,2,0.1,0.09,0.14,0.05
OC(CC1CCCCC1)*,CC1(C)CCC(CC(O)*)C1,2,-0.27,-0.37,-0.45,-0.08
OC(CC1CCCCC1)*,CC1(C)CCC(C(O)*)CC1,2,0.07,-0.11,0.01,0.12
OC(CC1CCCCC1)*,CC1(C)CCC(C(O)*)C1,2,0.25,-0.34,0.08,0.42
OC(CC1CCCCC1)*,CC1(C)CC(C(O)*)C1,2,0.59,0.29,0.73,0.44
OC(CC1CCCC1)*,O[C@H](C1CCCCC1)*,2,0.65,-0.09,0.61,0.69
OC(CC1CCCC1)*,OC(c1cccs1)*,2,-0.42,-0.07,-0.45,-0.38
OC(CC1CCCC1)*,CC1CCCCC1CC(O)*,2,-0.13,-0.2,-0.23,-0.03
OC(CC1CCCC1)*,CC1CCCC1C(O)*,2,0.52,-0.83,0.1,0.93
OC(CC1CCCC1)*,CC1CCCC(CC(O)*)C1,2,-0.13,0.04,-0.11,-0.15
OC(CC1CCCC1)*,CC1CCC(C(O)*)C1,2,0.29,0.1,0.34,0.24
CC1CCC(C(O)*)CC1,CC1(C)CCC(CC(O)*)CC1,2,-0.57,-0.26,-0.7,-0.44
OC(CC1CCCC1)*,CC1(C)CCC(CC(O)*)CC1,2,-0.47,-0.17,-0.56,-0.39
OC(CC1CCCC1)*,CC1(C)CCC(CC(O)*)C1,2,-0.28,-0.11,-0.34,-0.23
OC(CC1CCCC1)*,CC1(C)CCC(C(O)*)CC1,2,0.05,0.15,0.12,-0.02
OC(CC1CCCC1)*,CC1(C)CCC(C(O)*)C1,2,0.24,-0.09,0.19,0.28
OC(CC1CCCC1)*,CC1(C)CC(C(O)*)C1,2,0.57,0.55,0.85,0.3
CC1CCCCC1CC(O)*,O[C@H](C1CCCCC1)*,2,0.78,0.11,0.84,0.72
CC1CCCCC1CC(O)*,OC(C1CCCCC1)*,2,0.52,0.22,0.63,0.42
CC1CCCCC1CC(O)*,OC(C1CCCC1)*,2,0.44,0.29,0.58,0.3
CC1CCCCC1CC(O)*,OC(CC1CCCCC1)*,2,0.11,0.46,0.34,-0.11
OC(CC1CCCCC1)*,CC1(C)CCC(CC(O)*)CC1,2,-0.45,-0.43,-0.67,-0.24
OC(CC1CCCCC1)*,CC1CCC(C(O)*)C1,2,0.3,-0.16,0.22,0.38
OC(CC1CCCCC1)*,CC1CCC(C(O)*)CC1,2,0.11,-0.16,0.03,0.2
OC(CC1CCCCC1)*,CC1CCCC(CC(O)*)C1,2,-0.12,-0.22,-0.23,-0.01
OC(C1CCCCC1)*,CC1(C)CCC(C(O)*)C1,2,-0.16,-0.1,-0.21,-0.11
OC(C1CCCCC1)*,CC1(C)CC(C(O)*)C1,2,0.18,0.53,0.44,-0.09
OC(C1CCCC1)*,O[C@H](C1CCCCC1)*,2,0.34,-0.17,0.25,0.43
OC(C1CCCC1)*,OC(c1ccccc1)*,2,-0.56,-0.11,-0.61,-0.5
OC(C1CCCC1)*,OC(C1CCCCCC1)*,2,-0.03,-0.04,-0.05,-0.01
OC(C1CCCC1)*,CC1CCCCC1CC(O)*,2,-0.44,-0.29,-0.58,-0.3
OC(C1CCCC1)*,CC1CCCC1C(O)*,2,0.21,-0.91,-0.25,0.66
OC(C1CCCC1)*,CC1CCCC(CC(O)*)C1,2,-0.45,-0.05,-0.47,-0.42
OC(C1CCCC1)*,CC1CCC(C(O)*)CC1,2,-0.21,0.0,-0.21,-0.21
OC(C1CCCC1)*,CC1CCC(C(O)*)C1,2,-0.02,0.01,-0.02,-0.03
OC(C1CCCC1)*,CC1(C)CCC(CC(O)*)CC1,2,-0.78,-0.26,-0.91,-0.65
OC(C1CCCC1)*,CC1(C)CCC(CC(O)*)C1,2,-0.59,-0.2,-0.69,-0.49
OC(C1CCCC1)*,CC1(C)CCC(C(O)*)CC1,2,-0.26,0.06,-0.23,-0.29
OC(C1CCCC1)*,CC1(C)CCC(C(O)*)C1,2,-0.08,-0.17,-0.16,0.01
OC(C1CCCC1)*,CC1(C)CC(C(O)*)C1,2,0.26,0.46,0.49,0.03
OC(CC1CCCCC1)*,OC(c1ccccc1)*,2,-0.34,-0.63,-0.65,-0.02
OC(CC1CCCCC1)*,OC(C1CCCCCC1)*,2,0.24,-0.31,0.08,0.39
OC(CC1CCCCC1)*,CC1CCCCC1CC(O)*,2,-0.11,-0.46,-0.34,0.11
OC(CC1CCCCC1)*,CC1CCCC1C(O)*,2,0.53,-1.08,-0.01,1.07
CC1CCCCC1CC(O)*,OC(CC1CCCC1)*,2,0.13,0.2,0.23,0.03
CC1CCCCC1CC(O)*,CC1CCCC1C(O)*,2,0.65,-0.63,0.33,0.96
CC1CCCCC1CC(O)*,CC1CCCC(CC(O)*)C1,2,-0.0,0.24,0.12,-0.12
CC1CCCC(CC(O)*)C1,OC(C1CCCCC1)*,2,0.53,-0.02,0.52,0.54
CC1CCCC(CC(O)*)C1,OC(CC1CCCCC1)*,2,0.12,0.22,0.23,0.01
CC1CCCC(CC(O)*)C1,OC(CC1CCCC1)*,2,0.13,-0.04,0.11,0.15
CC1CCCC(CC(O)*)C1,CC1CCCCC1CC(O)*,2,0.0,-0.24,-0.12,0.12
CC1CCCC(CC(O)*)C1,CC1CCCC1C(O)*,2,0.65,-0.87,0.22,1.08
CC1CCCC(CC(O)*)C1,CC1CCC(C(O)*)CC1,2,0.23,0.05,0.26,0.21
CC1CCCC(CC(O)*)C1,CC1CCC(C(O)*)C1,2,0.42,0.06,0.45,0.39
CC1CCCC(CC(O)*)C1,CC1(C)CCC(CC(O)*)CC1,2,-0.34,-0.21,-0.44,-0.23
CC1CCCC(CC(O)*)C1,CC1(C)CCC(CC(O)*)C1,2,-0.15,-0.15,-0.22,-0.07
CC1CCCC(CC(O)*)C1,CC1(C)CCC(C(O)*)CC1,2,0.18,0.11,0.24,0.13
CC1CCCC(CC(O)*)C1,CC1(C)CCC(C(O)*)C1,2,0.37,-0.13,0.31,0.43
CC1CCCC(CC(O)*)C1,CC1(C)CC(C(O)*)C1,2,0.7,0.51,0.96,0.45
CC1CCC(C(O)*)CC1,O[C@H](C1CCCCC1)*,2,0.55,-0.18,0.46,0.64
CC1CCC(C(O)*)CC1,OC(C1CCCCC1)*,2,0.29,-0.08,0.26,0.33
CC1CCC(C(O)*)CC1,OC(C1CCCC1)*,2,0.21,-0.0,0.21,0.21
CC1CCC(C(O)*)CC1,OC(CC1CCCCC1)*,2,-0.11,0.16,-0.03,-0.2
CC1CCC(C(O)*)CC1,OC(CC1CCCC1)*,2,-0.1,-0.09,-0.14,-0.05
CC1CCC(C(O)*)CC1,CC1CCCCC1CC(O)*,2,-0.23,-0.29,-0.37,-0.08
CC1CCC(C(O)*)CC1,CC1CCCC1C(O)*,2,0.42,-0.92,-0.04,0.88
CC1CCC(C(O)*)CC1,CC1CCCC(CC(O)*)C1,2,-0.23,-0.05,-0.26,-0.21
CC1CCCC(CC(O)*)C1,OC(C1CCCC1)*,2,0.45,0.05,0.47,0.42
CC1CCCC(CC(O)*)C1,O[C@H](C1CCCCC1)*,2,0.79,-0.12,0.72,0.85
CC1CCCCC1CC(O)*,CC1CCC(C(O)*)CC1,2,0.23,0.29,0.37,0.08
CC1CCCC1C(O)*,CC1(C)CC(C(O)*)C1,2,0.05,1.38,0.74,-0.63
CC1CCCCC1CC(O)*,CC1CCC(C(O)*)C1,2,0.42,0.3,0.57,0.27
CC1CCCCC1CC(O)*,CC1(C)CCC(CC(O)*)CC1,2,-0.34,0.03,-0.33,-0.35
CC1CCCCC1CC(O)*,CC1(C)CCC(CC(O)*)C1,2,-0.15,0.09,-0.11,-0.2
CC1CCCCC1CC(O)*,CC1(C)CCC(C(O)*)CC1,2,0.18,0.35,0.35,0.01
CC1CCCCC1CC(O)*,CC1(C)CCC(C(O)*)C1,2,0.37,0.11,0.42,0.31
CC1CCCCC1CC(O)*,CC1(C)CC(C(O)*)C1,2,0.7,0.75,1.08,0.33
CC1CCCC1C(O)*,O[C@H](C1CCCCC1)*,2,0.13,0.74,0.51,-0.24
CC1CCCC1C(O)*,OC(C1CCCCC1)*,2,-0.12,0.84,0.3,-0.55
CC1CCCC1C(O)*,OC(C1CCCC1)*,2,-0.21,0.91,0.25,-0.66
CC1CCCC1C(O)*,OC(CC1CCCCC1)*,2,-0.53,1.08,0.01,-1.07
CC1CCCC1C(O)*,OC(CC1CCCC1)*,2,-0.52,0.83,-0.1,-0.93
CC1CCCC1C(O)*,CC1CCCCC1CC(O)*,2,-0.65,0.63,-0.33,-0.96
CC1CCCC1C(O)*,CC1CCCC(CC(O)*)C1,2,-0.65,0.87,-0.22,-1.08
CC1CCCC1C(O)*,CC1CCC(C(O)*)CC1,2,-0.42,0.92,0.04,-0.88
CC1CCCC1C(O)*,CC1CCC(C(O)*)C1,2,-0.23,0.92,0.23,-0.69
CC1CCCC1C(O)*,CC1(C)CCC(CC(O)*)CC1,2,-0.99,0.65,-0.66,-1.32
CC1CCCC1C(O)*,CC1(C)CCC(CC(O)*)C1,2,-0.8,0.71,-0.44,-1.16
CC1CCCC1C(O)*,CC1(C)CCC(C(O)*)CC1,2,-0.47,0.97,0.02,-0.95
CC1CCCC1C(O)*,CC1(C)CCC(C(O)*)C1,2,-0.28,0.74,0.09,-0.65
OC(C1CCCCC1)*,CC1(C)CCC(C(O)*)CC1,2,-0.34,0.13,-0.28,-0.41
OC(C1CCCCC1)*,CC1(C)CCC(CC(O)*)C1,2,-0.68,-0.13,-0.74,-0.61
OC(C1CCCCC1)*,CC1(C)CCC(CC(O)*)CC1,2,-0.86,-0.19,-0.96,-0.77
c1ccc(*)cc1,CC1(*)CCCC1,2,1.22,-0.09,1.17,1.27
CC1(*)CCCC1,c1ccc(*)cc1,2,-1.22,0.09,-1.17,-1.27
CC1(*)CCCC1,CC1(*)CCCCC1,2,-0.21,0.23,-0.09,-0.32
F*,CC*,2,-0.49,0.15,-0.41,-0.56
CC*,F*,2,0.49,-0.15,0.41,0.56
C[C@H](C(=O)Nc1ccc(Cl)cc1)*,C[C@@H](C(=O)Nc1ccc(Cl)cc1)*,2,-0.14,-0.01,-0.15,-0.14
C[C@@H](C(=O)Nc1ccc(Cl)cc1)*,C[C@H](C(=O)Nc1ccc(Cl)cc1)*,2,0.14,0.01,0.15,0.14
COP(C)(=O)NCC*,COP(C)(=O)NCCC*,2,-0.02,-0.12,-0.08,0.04
COP(C)(=O)NCCC*,COP(C)(=O)NCC*,2,0.02,0.12,0.08,-0.04
COP(C)(=O)N*,COP(C)(=O)NC*,2,-0.02,-0.12,-0.08,0.04
COP(C)(=O)NC*,COP(C)(=O)N*,2,0.02,0.12,0.08,-0.04
COP(C)(=O)NC*,COP(C)(=O)NCC*,2,-0.02,-0.12,-0.08,0.04
COP(C)(=O)NCC*,COP(C)(=O)NC*,2,0.02,0.12,0.08,-0.04
Brc1cccc(*)c1,Fc1ccc(*)cc1,2,-0.22,0.56,0.05,-0.5
Fc1ccc(*)cc1,Brc1cccc(*)c1,2,0.22,-0.56,-0.05,0.5
C*,C1CC(C*)CCO1,2,-0.34,0.44,-0.12,-0.56
c1ccc(*)cc1,C1CC(C*)CCO1,2,-0.1,-0.19,-0.2,-0.01
C1CC(C*)CCO1,C*,2,0.34,-0.44,0.12,0.56
C1CC(C*)CCO1,c1ccc(*)cc1,2,0.1,0.19,0.2,0.01
Clc1cc(*)n2cncc2c1,FC(F)(F)c1cc(*)c2cncn2c1,2,-0.43,-0.88,-0.87,0.01
CC1(*)CCCCC1,CC1(*)CCCC1,2,0.21,-0.23,0.09,0.32
Clc1ccc(*)cc1,Brc1ccccc1*,2,0.05,0.21,0.16,-0.06
Clc1cc(*)n2cncc2c1,Brc1cc(*)n2cncc2c1,2,0.27,0.25,0.39,0.15
Brc1cccc(*)c1,Fc1cccc(*)c1,2,-0.16,-0.03,-0.18,-0.14
O[C@H](CC1CCCCC1)*,OC(C1CCCCC1)*,2,-0.17,0.13,-0.11,-0.24
O[C@@H](C1CCCCC1)*,O[C@H](CC1CCCCC1)*,2,-0.12,-0.18,-0.21,-0.03
O[C@@H](C1CCCCC1)*,OC(C1CCCCC1)*,2,-0.29,-0.05,-0.32,-0.27
OC(C1CCCCC1)*,O[C@H](CC1CCCCC1)*,2,0.17,-0.13,0.11,0.24
OC(C1CCCCC1)*,O[C@@H](C1CCCCC1)*,2,0.29,0.05,0.32,0.27
Clc1ccc(*)cc1,Brc1ccc(*)cc1,2,-0.01,-0.0,-0.01,-0.01
Brc1ccc(*)cc1,Clc1ccc(*)cc1,2,0.01,0.0,0.01,0.01
c1nc(*)cs1,c1cc(*)ccn1,2,-0.81,-0.55,-1.09,-0.54
c1cc(*)ccn1,c1nc(*)cs1,2,0.81,0.55,1.09,0.54
Clc1ccc(*)nc1,Clc1ccc(*)cc1,2,-0.14,0.3,0.01,-0.29
Clc1ccc(*)cc1,Clc1ccc(*)nc1,2,0.14,-0.3,-0.01,0.29
F*,Cn1cc(*)cn1,2,-0.08,0.05,-0.06,-0.1
Cn1cc(*)cn1,F*,2,0.08,-0.05,0.06,0.1
Brc1ccccc1*,Fc1cccc(*)c1,2,0.14,-0.03,0.13,0.16
Brc1ccccc1*,Brc1cccc(*)c1,2,0.3,0.01,0.31,0.3
Brc1ccccc1*,Clc1ccc(*)cc1,2,-0.05,-0.21,-0.16,0.06
Fc1cccc(*)c1,Brc1ccccc1*,2,-0.14,0.03,-0.13,-0.16
Fc1cccc(*)c1,Brc1cccc(*)c1,2,0.16,0.03,0.18,0.14
Brc1cccc(*)c1,Brc1ccccc1*,2,-0.3,-0.01,-0.31,-0.3
Clc1cc(*)n2cncc2c1,FC(F)(F)c1cc(*)n2cncc2c1,2,-0.2,0.39,-0.01,-0.4
FC(F)(F)c1cc(*)c2cncn2c1,Clc1cc(*)n2cncc2c1,2,0.43,0.88,0.87,-0.01
OC(C1CCCCC1)*,CC1CCC(C(O)*)C1,2,-0.11,0.08,-0.07,-0.15
O[C@H](C1CCCCC1)*,CC1(C)CCC(C(O)*)C1,2,-0.42,-0.0,-0.42,-0.41
O[C@@H](CC1CCCCC1)*,OC(C1CCCCC1)*,2,-0.05,0.04,-0.03,-0.07
OC(c1cccs1)*,OC(c1ccccc1)*,2,0.07,0.01,0.07,0.06
OC(c1cccs1)*,OC(C1CCCCCC1)*,2,0.52,0.06,0.55,0.49
OC(c1cccs1)*,OC(CC1CCCC1)*,2,0.42,0.07,0.45,0.38
OC(c1ccccc1)*,OC(c1cccs1)*,2,-0.07,-0.01,-0.07,-0.06
OC(c1ccccc1)*,OC(C1CCCCC1)*,2,0.7,0.02,0.71,0.69
OC(c1ccccc1)*,OC(C1CCCC1)*,2,0.56,0.11,0.61,0.5
OC(c1ccccc1)*,OC(CC1CCCCC1)*,2,0.34,0.63,0.65,0.02
OC(C1CCCCCC1)*,OC(c1cccs1)*,2,-0.52,-0.06,-0.55,-0.49
OC(C1CCCCCC1)*,OC(C1CCCCC1)*,2,0.13,-0.1,0.08,0.18
OC(C1CCCCCC1)*,OC(C1CCCC1)*,2,0.03,0.04,0.05,0.01
OC(C1CCCCCC1)*,OC(CC1CCCCC1)*,2,-0.24,0.31,-0.08,-0.39
OC(C1CCCCC1)*,O[C@@H](CC1CCCCC1)*,2,0.05,-0.04,0.03,0.07
OC(C1CCCCC1)*,OC(c1ccccc1)*,2,-0.7,-0.02,-0.71,-0.69
OC(C1CCCCC1)*,OC(C1CCCCCC1)*,2,-0.13,0.1,-0.08,-0.18
OC(C1CCCCC1)*,CC1CCCCC1CC(O)*,2,-0.52,-0.22,-0.63,-0.42
OC(C1CCCCC1)*,CC1CCCC1C(O)*,2,0.12,-0.84,-0.3,0.55
OC(C1CCCCC1)*,CC1CCCC(CC(O)*)C1,2,-0.53,0.02,-0.52,-0.54
OC(C1CCCCC1)*,CC1CCC(C(O)*)CC1,2,-0.29,0.08,-0.26,-0.33
O[C@H](C1CCCCC1)*,CC1(C)CC(C(O)*)C1,2,-0.08,0.63,0.24,-0.4
O[C@H](C1CCCCC1)*,CC1(C)CCC(C(O)*)CC1,2,-0.6,0.23,-0.49,-0.72
FC(F)(F)c1cc(*)c2cncn2c1,FC(F)(F)c1cc(*)n2cncc2c1,2,0.22,1.27,0.86,-0.41
O[C@H](C1CCCCC1)*,CC1(C)CCC(CC(O)*)C1,2,-0.93,-0.03,-0.95,-0.92
FC(F)(F)c1cc(*)c2cncn2c1,Brc1cc(*)n2cncc2c1,2,0.7,1.13,1.26,0.13
FC(F)(F)c1cc(*)n2cncc2c1,Clc1cc(*)n2cncc2c1,2,0.2,-0.39,0.01,0.4
FC(F)(F)c1cc(*)n2cncc2c1,FC(F)(F)c1cc(*)c2cncn2c1,2,-0.22,-1.27,-0.86,0.41
FC(F)(F)c1cc(*)n2cncc2c1,Brc1cc(*)n2cncc2c1,2,0.47,-0.15,0.4,0.55
Brc1cc(*)n2cncc2c1,Clc1cc(*)n2cncc2c1,2,-0.27,-0.25,-0.39,-0.15
Brc1cc(*)n2cncc2c1,FC(F)(F)c1cc(*)c2cncn2c1,2,-0.7,-1.13,-1.26,-0.13
Brc1cc(*)n2cncc2c1,FC(F)(F)c1cc(*)n2cncc2c1,2,-0.47,0.15,-0.4,-0.55
C1CCC(*)C1,CC1(*)CCCC1,2,0.79,-0.46,0.57,1.02
CC1(C)CCC(*)C1,CC1(*)CCCC1,2,0.88,-0.78,0.49,1.27
CC1(*)CCCC1,C1CCC(*)C1,2,-0.79,0.46,-0.57,-1.02
CC1(*)CCCC1,CC1(C)CCC(*)C1,2,-0.88,0.78,-0.49,-1.27
O[C@H](C1CCCCC1)*,OC(C1CCCC1)*,2,-0.34,0.17,-0.25,-0.43
O[C@H](C1CCCCC1)*,OC(CC1CCCC1)*,2,-0.65,0.09,-0.61,-0.69
O[C@H](C1CCCCC1)*,CC1CCCCC1CC(O)*,2,-0.78,-0.11,-0.84,-0.72
O[C@H](C1CCCCC1)*,CC1CCCC1C(O)*,2,-0.13,-0.74,-0.51,0.24
O[C@H](C1CCCCC1)*,CC1CCCC(CC(O)*)C1,2,-0.79,0.12,-0.72,-0.85
O[C@H](C1CCCCC1)*,CC1CCC(C(O)*)CC1,2,-0.55,0.18,-0.46,-0.64
O[C@H](C1CCCCC1)*,CC1CCC(C(O)*)C1,2,-0.36,0.18,-0.27,-0.45
O[C@H](C1CCCCC1)*,CC1(C)CCC(CC(O)*)CC1,2,-1.12,-0.09,-1.17,-1.08
CC1CCC(C(O)*)CC1,CC1CCC(C(O)*)C1,2,0.19,0.0,0.19,0.19
CC1CCC(C(O)*)CC1,CC1(C)CCC(CC(O)*)C1,2,-0.38,-0.2,-0.48,-0.28
Fc1cccc(*)c1,Clc1ccccc1*,2,-0.9,-0.43,-1.12,-0.69
OC1CCC(*)CC1,C1CCC(*)C1,2,0.5,-0.2,0.4,0.6
C1CCC(*)C1,C*,2,0.68,0.37,0.86,0.49
CO*,c1ccc(*)cc1,2,-0.96,-0.55,-1.24,-0.69
CO*,CC(C)*,2,-0.5,-0.42,-0.71,-0.29
C*,C1CCC(*)C1,2,-0.68,-0.37,-0.86,-0.49
CC(C)*,CO*,2,0.5,0.42,0.71,0.29
OC1CCC(*)CC1,c1ccc(*)cc1,2,-0.07,-0.68,-0.41,0.27
OC1CCC(*)CC1,C1CCCC(*)CC1,2,0.49,-0.24,0.37,0.61
OC1CCC(*)CC1,C1CCC(*)CC1,2,0.5,-0.25,0.37,0.62
OC1CCC(*)CC1,c1ccc(C2CCCC2*)cc1,2,-0.54,-0.26,-0.67,-0.41
OC1CCC(*)CC1,FC(F)(F)C1CCCC(*)C1,2,-0.0,-0.54,-0.27,0.26
CC1CCC(C(O)*)CC1,CC1(C)CCC(C(O)*)CC1,2,-0.05,0.06,-0.02,-0.08
OC1CCC(*)CC1,C1CCC2CC(*)CCC2C1,2,-0.34,-0.86,-0.77,0.09
OC1CCC(*)CC1,C1CC(*)C1,2,0.22,-0.23,0.11,0.34
OC1CCC(*)CC1,c1ccc(C2CCC(*)CC2)cc1,2,-0.33,-0.25,-0.46,-0.2
OC1CCC(*)CC1,C1CC(C2CCC(*)CC2)C1,2,-0.44,-0.61,-0.74,-0.13
OC1CCC(*)CC1,FC(F)(F)C1CCC(*)CC1,2,0.14,-0.6,-0.16,0.44
OC1CCC(*)CC1,Cc1ccccc1*,2,-0.53,-1.37,-1.21,0.15
OC1CCC(*)CC1,COC1CCCC(*)C1,2,-0.11,-0.16,-0.19,-0.03
OC1CCC(*)CC1,CCC1CCC(*)CC1,2,0.05,-0.31,-0.11,0.2
OC1CCC(*)CC1,CC1CCCC(*)C1,2,0.47,-0.24,0.35,0.59
c1ccc(*)cc1,CO*,2,0.96,0.55,1.24,0.69
CC1(C)CCC(*)C1,CC1CCCCC1*,2,0.15,-0.09,0.11,0.2
CC1(C)CCC(*)CC1,CC1CCCCC1*,2,0.34,-0.03,0.33,0.35
CC1CCCC(*)C1,CC1CCCCC1*,2,0.0,-0.24,-0.12,0.12
CN(C)C*,C1CN(C*)CCO1,2,-0.3,0.04,-0.28,-0.32
CN(C)C*,CN1CCN(C*)CC1,2,-0.39,0.13,-0.33,-0.45
C1CN(*)CCO1,CN1CCN(*)CC1,2,-0.09,0.08,-0.05,-0.13
C1CN(*)CCO1,CN(C)*,2,0.3,-0.04,0.28,0.32
C1CN(*)CCN1,CN1CCN(*)CC1,2,-0.13,0.16,-0.05,-0.21
Cc1ccccc1*,Cc1cccc(*)c1,2,0.51,-0.53,0.25,0.78
CN1CCN(*)CC1,C1CN(*)CCO1,2,0.09,-0.08,0.05,0.13
CN1CCN(*)CC1,C1CN(*)CCN1,2,0.13,-0.16,0.05,0.21
CN(C)*,C1CN(*)CCO1,2,-0.3,0.04,-0.28,-0.32
CN(C)*,C1CN(*)CCN1,2,0.06,-0.03,0.04,0.07
C1CCC(*)CC1,FC1(F)CCC(*)CC1,2,0.34,-0.66,0.01,0.67
C1CCC(*)CC1,CC1CCCCC1*,2,-0.11,-0.46,-0.34,0.11
C1CCC(*)C1,CC1CCCCC1*,2,-0.13,-0.2,-0.23,-0.03
FC1(F)CCC(*)CC1,C1CCC(*)CC1,2,-0.34,0.66,-0.01,-0.67
CC1CCCCC1*,C1CCC(*)CC1,2,0.11,0.46,0.34,-0.11
CC1CCCCC1*,C1CCC(*)C1,2,0.13,0.2,0.23,0.03
CC1CCCCC1*,CC1CCCC(*)C1,2,-0.0,0.24,0.12,-0.12
CC1CCCCC1*,CC1(C)CCC(*)CC1,2,-0.34,0.03,-0.33,-0.35
CC1CCCCC1*,CC1(C)CCC(*)C1,2,-0.15,0.09,-0.11,-0.2
OC1CCC(*)CC1,CC1CCC(*)CC1,2,0.36,-0.36,0.19,0.54
OC1CCC(*)CC1,CC1(C)CCCC(*)C1,2,0.27,-0.79,-0.13,0.67
OC1CCC(*)CC1,CC1(C)CCC(*)CC1,2,0.25,-0.5,-0.0,0.5
Clc1ccccc1*,Clc1ccc(*)cc1,2,0.56,0.38,0.75,0.37
c1ccc(*)cc1,OC1CCC(*)CC1,2,0.07,0.68,0.41,-0.27
c1ccc(*)cc1,FC(F)(F)c1ccc(*)cc1,2,-0.57,-0.23,-0.69,-0.46
c1ccc(*)cc1,C1CCCC(*)CC1,2,0.56,0.44,0.78,0.34
c1ccc(*)cc1,c1ccc(C2CCCC2*)cc1,2,-0.47,0.42,-0.26,-0.68
c1ccc(*)cc1,FC(F)(F)C1CCCC(*)C1,2,0.07,0.14,0.14,-0.0
c1ccc(*)cc1,C1CCC2CC(*)CCC2C1,2,-0.26,-0.18,-0.36,-0.17
c1ccc(*)cc1,C1CC(C2CCC(*)CC2)C1,2,-0.37,0.07,-0.33,-0.4
c1ccc(*)cc1,FC(F)(F)C1CCC(*)CC1,2,0.21,0.08,0.25,0.17
c1ccc(*)cc1,COc1cccc(*)c1,2,-0.53,-0.14,-0.6,-0.46
c1ccc(*)cc1,COC1CCCC(*)C1,2,-0.03,0.52,0.23,-0.29
c1ccc(*)cc1,CCC1CCC(*)CC1,2,0.12,0.37,0.31,-0.06
c1ccc(*)cc1,CC1CCCC(*)C1,2,0.55,0.44,0.77,0.32
