r_from,r_to,n_pairs,dM,dD,dIDO1,dTDO2
c1csc(*)c1,C1CCC(*)C1,3,0.54,0.02,0.55,0.54
c1csc(*)c1,C1CCC(C*)CC1,3,0.14,0.38,0.33,-0.05
c1csc(*)c1,COc1ccc(*)cc1,3,0.17,0.2,0.27,0.08
Clc1ccc(*)cc1Cl,Fc1ccc(*)cc1,3,-0.27,-0.05,-0.3,-0.25
O[C@H](C1CCCCC1)*,OC(CC1CCCCC1)*,3,-0.54,0.35,-0.36,-0.71
CC1(*)CCCCC1,CC1(C)CCC(C*)CC1,3,-1.12,0.34,-0.95,-1.29
O[C@H](C1CCCCC1)*,OC(C1CCCCC1)*,3,-0.23,0.05,-0.2,-0.26
Clc1ccc(*)cc1,Brc1cccc(*)c1,3,0.2,0.34,0.37,0.03
Brc1cccc(*)c1,Clc1ccc(*)cc1,3,-0.2,-0.34,-0.37,-0.03
CC1(*)CCCC1,CC1(C)CCC(C*)CC1,3,-1.57,0.71,-1.21,-1.92
CC1(*)CCCC1,C1CCC(C*)CC1,3,-0.79,1.19,-0.2,-1.39
CC1(*)CCCCC1,C1CCC(C*)C1,3,-0.67,0.16,-0.59,-0.75
Fc1ccc(*)cc1,Cc1cccc(*)c1,3,0.16,-0.9,-0.29,0.61
OC(c1cccs1)*,OC(C1CCCCC1)*,3,0.57,-0.07,0.54,0.6
CC(C)*,C1CC(*)C1,3,-0.15,-0.33,-0.31,0.02
OC(C1CCCCC1)*,OC(c1cccs1)*,3,-0.57,0.07,-0.54,-0.6
OC(C1CCCCC1)*,O[C@H](C1CCCCC1)*,3,0.23,-0.05,0.2,0.26
CC(C)(C)*,C*,3,0.86,0.23,0.97,0.74
CC(C)(C)*,C1CCC(*)C1,3,0.52,-0.35,0.35,0.7
CC(C)(C)*,C1CC(*)C1,3,0.51,0.25,0.63,0.38
OC(c1ccccc1)*,OC(CC1CCCC1)*,3,0.28,0.15,0.36,0.21
C1CCCC(*)CC1,CC1(C)CCC(*)C1,3,0.02,-0.23,-0.09,0.14
OC(c1cccs1)*,OC(C1CCCC1)*,3,0.54,0.02,0.55,0.54
CC(C)(C)*,CCC*,3,0.77,0.33,0.93,0.6
C*,CC(C)(C)*,3,-0.86,-0.23,-0.97,-0.74
C=C*,Cl*,3,-1.09,-0.06,-1.12,-1.07
C=C*,C1CC1*,3,-0.59,0.8,-0.19,-0.99
OC(c1cccs1)*,OC(CC1CCCCC1)*,3,0.14,0.38,0.33,-0.05
C=C*,FC(F)(F)*,3,-1.03,0.9,-0.58,-1.49
CC1(*)CCCCC1,CC1(C)CCC(*)C1,3,-0.38,0.35,-0.21,-0.56
CC1(*)CCCCC1,CC1(C)CC(*)C1,3,-0.08,0.62,0.23,-0.38
CC1(C)CCC(C*)CC1,CC1(*)CCCC1,3,1.57,-0.71,1.21,1.92
c1ccc(*)cc1,Cc1ccccc1*,3,-0.27,-0.51,-0.52,-0.01
N#C*,Cl*,3,0.19,-0.24,0.07,0.31
N#C*,F*,3,0.04,-0.32,-0.12,0.2
Cl*,N#C*,3,-0.19,0.24,-0.07,-0.31
F*,N#C*,3,-0.04,0.32,0.12,-0.2
CO*,Br*,3,-0.07,0.06,-0.03,-0.1
Br*,CO*,3,0.07,-0.06,0.03,0.1
C1CCC(C*)C1,CC1(C)CCC(*)C1,3,0.24,0.02,0.25,0.23
COC(=O)*,O=C(O)*,3,0.06,-0.8,-0.34,0.47
C1CCC(C*)C1,CC1(*)CCCCC1,3,0.67,-0.16,0.59,0.75
Clc1ccc(*)cc1,Fc1ccccc1*,3,0.15,-0.11,0.09,0.2
Cc1ccccc1*,c1ccc(*)cc1,3,0.27,0.51,0.52,0.01
c1ccc(*)cc1,CC1(C)CCC(C*)CC1,3,-0.17,0.33,-0.01,-0.33
c1ccc(*)cc1,CC1(C)CCC(*)C1,3,0.57,0.24,0.69,0.45
c1ccc(*)cc1,CC1(C)CC(*)C1,3,0.88,0.61,1.18,0.57
O=C(O)*,COC(=O)*,3,-0.06,0.8,0.34,-0.47
c1ccc(*)cc1,C1CCC(C*)C1,3,0.28,0.15,0.36,0.21
C1CCC(C*)CC1,CC1(*)CCCC1,3,0.79,-1.19,0.2,1.39
C1CCC(C*)CC1,CC1(C)CCC(C*)CC1,3,-0.62,-0.49,-0.86,-0.37
Fc1ccccc1*,Clc1ccc(*)cc1,3,-0.15,0.11,-0.09,-0.2
C1CCC(C*)CC1,c1csc(*)c1,3,-0.14,-0.38,-0.33,0.05
C1CCC(C*)CC1,c1ccc(*)cc1,3,-0.32,-0.43,-0.53,-0.1
C1CCC(C*)CC1,C1CCC(*)C1,3,0.33,-0.36,0.15,0.52
C1CCC(C*)CC1,C1CCC(C*)C1,3,-0.07,-0.44,-0.29,0.15
C1CCCC(*)CC1,C1CCC(*)CC1,3,0.08,-0.02,0.07,0.09
C1CCC(C*)CC1,CC1(C)CCC(C*)C1,3,-0.22,-0.34,-0.39,-0.05
c1ccc(*)cc1,C1CCC(C*)CC1,3,0.32,0.43,0.53,0.1
C1CCC(C*)CC1,CC1(C)CC(*)C1,3,0.49,-0.01,0.49,0.5
c1ccc(*)cc1,c1ccc(C2CCC(*)CC2)cc1,3,-0.2,0.67,0.13,-0.54
C1CCC(C*)C1,c1ccc(*)cc1,3,-0.28,-0.15,-0.36,-0.21
C1CCC(C*)C1,C1CCC(*)C1,3,0.3,-0.05,0.27,0.33
C1CCC(C*)C1,C1CCC(C*)CC1,3,0.07,0.44,0.29,-0.15
COc1ccc(*)cc1,c1csc(*)c1,3,-0.17,-0.2,-0.27,-0.08
CC1(*)CCCCC1,C1CCC(*)C1,3,-0.36,0.39,-0.17,-0.56
C=C*,c1ccc(*)cc1,3,-1.26,-0.53,-1.53,-1.0
OC(C1CCCCC1)*,OC(CC1CCCC1)*,3,-0.5,0.08,-0.46,-0.54
CC1CCCC(*)C1,C1CCC(*)CC1,3,0.11,0.12,0.17,0.05
Cc1ccc(*)cc1,c1ccc(*)cc1,3,0.35,0.1,0.4,0.3
OC(CC1CCCCC1)*,O[C@H](C1CCCCC1)*,3,0.54,-0.35,0.36,0.71
c1cc(*)cs1,Fc1cccc(*)c1,3,-0.08,-0.01,-0.09,-0.08
c1ccc(*)cc1,Clc1ccc(*)cc1,3,0.37,-0.04,0.35,0.4
OC(CC1CCCCC1)*,OC(C1CCCC1)*,3,0.33,-0.36,0.15,0.52
OC(CC1CCCCC1)*,OC(CC1CCCC1)*,3,-0.07,-0.44,-0.29,0.15
Fc1cccc(*)c1,Fc1ccccc1*,3,0.03,-0.15,-0.05,0.1
CC1CCCC(*)C1,CC1(C)CCC(*)C1,3,-0.08,-0.16,-0.16,-0.01
c1ccc(*)cc1,Cc1cccc(*)c1,3,0.08,-0.76,-0.3,0.46
Fc1cccc(*)c1,c1cc(*)cs1,3,0.08,0.01,0.09,0.08
CC1CCCC(*)C1,CC1(C)CCC(*)CC1,3,-0.25,-0.19,-0.35,-0.16
Fc1cccc(*)c1,c1ccc(C*)cc1,3,-0.81,-0.36,-0.99,-0.64
c1ccc(*)cc1,C=C*,3,1.26,0.53,1.53,1.0
