molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_units,standard_value,pchembl_value,document_chembl_id,data_validity_comment
CHEMBL156455,C=C(Cl)Cl,IC50,,,,,CHEMBL1909046,
CHEMBL156455,C=C(Cl)Cl,Ki,,,,,CHEMBL1909046,
CHEMBL81977,NC(=O)c1cccc(N)c1,IC50,,,,,CHEMBL1909046,
CHEMBL81977,NC(=O)c1cccc(N)c1,Ki,,,,,CHEMBL1909046,
CHEMBL153062,CCCCCCCCCc1ccc(O)cc1,IC50,,,,,CHEMBL1909046,
CHEMBL153062,CCCCCCCCCc1ccc(O)cc1,Ki,,,,,CHEMBL1909046,
CHEMBL404271,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,IC50,,,,,CHEMBL1909046,
CHEMBL404271,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,Ki,,,,,CHEMBL1909046,
CHEMBL184,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,IC50,,,,,CHEMBL1909046,
CHEMBL184,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,Ki,,,,,CHEMBL1909046,
CHEMBL1110,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,IC50,,,,,CHEMBL1909046,
CHEMBL1110,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,Ki,,,,,CHEMBL1909046,
CHEMBL267345,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,IC50,,,,,CHEMBL1909046,
CHEMBL267345,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,Ki,,,,,CHEMBL1909046,
CHEMBL40583,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,IC50,,,,,CHEMBL1909046,
CHEMBL40583,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,Ki,,,,,CHEMBL1909046,
CHEMBL1006,NCCCNCCSP(=O)(O)O,IC50,,,,,CHEMBL1909046,
CHEMBL1006,NCCCNCCSP(=O)(O)O,Ki,,,,,CHEMBL1909046,
CHEMBL1909048,O=C(c1ccccc1Cl)N1CCC(Cc2ccccc2)CC1,IC50,,,,,CHEMBL1909046,
CHEMBL1909048,O=C(c1ccccc1Cl)N1CCC(Cc2ccccc2)CC1,Ki,,,,,CHEMBL1909046,
CHEMBL77675,N=C(Nc1ccccc1)Nc1ccccc1,IC50,,,,,CHEMBL1909046,
CHEMBL77675,N=C(Nc1ccccc1)Nc1ccccc1,Ki,,,,,CHEMBL1909046,
CHEMBL195437,CCCCCCCCc1ccc(O)cc1,IC50,=,nM,10319.0,4.99,CHEMBL1909046,
CHEMBL195437,CCCCCCCCc1ccc(O)cc1,Ki,,,,,CHEMBL1909046,
CHEMBL642,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,IC50,,,,,CHEMBL1909046,
CHEMBL642,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,Ki,,,,,CHEMBL1909046,
CHEMBL1697694,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@@H]1C=CO[C@@H]1O2,IC50,,,,,CHEMBL1909046,
CHEMBL1697694,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@@H]1C=CO[C@@H]1O2,Ki,,,,,CHEMBL1909046,
CHEMBL1230813,OC[C@H]1O[C@@H]2O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O[C@H]6[C@H](O)[C@@H](O)[C@@H](O[C@H]7[C@H](O)[C@@H](O)[C@@H](O[C@H]1[C@H](O)[C@H]2O)O[C@@H]7CO)O[C@@H]6CO)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO,IC50,,,,,CHEMBL1909046,
CHEMBL1230813,OC[C@H]1O[C@@H]2O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O[C@H]6[C@H](O)[C@@H](O)[C@@H](O[C@H]7[C@H](O)[C@@H](O)[C@@H](O[C@H]1[C@H](O)[C@H]2O)O[C@@H]7CO)O[C@@H]6CO)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO,Ki,,,,,CHEMBL1909046,
CHEMBL633,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,IC50,,,,,CHEMBL1909046,
CHEMBL174,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,IC50,,,,,CHEMBL1909046,
CHEMBL174,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,Ki,,,,,CHEMBL1909046,
CHEMBL291338,O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O,IC50,=,nM,666.0,6.18,CHEMBL1909046,
CHEMBL291338,O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O,Ki,,,,,CHEMBL1909046,
CHEMBL177,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,IC50,,,,,CHEMBL1909046,
CHEMBL177,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,Ki,,,,,CHEMBL1909046,
CHEMBL633,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,Ki,,,,,CHEMBL1909046,
CHEMBL437002,O=C(c1ccccc1F)N1CCC(Cc2ccccc2)CC1,IC50,,,,,CHEMBL1909046,
CHEMBL437002,O=C(c1ccccc1F)N1CCC(Cc2ccccc2)CC1,Ki,,,,,CHEMBL1909046,
CHEMBL41543,NC(=O)N1c2ccccc2CCc2ccccc21,IC50,,,,,CHEMBL1909046,
CHEMBL41543,NC(=O)N1c2ccccc2CCc2ccccc21,Ki,,,,,CHEMBL1909046,
CHEMBL85728,Nc1ccc(Cc2ccc(N)cc2)cc1,IC50,,,,,CHEMBL1909046,
CHEMBL85728,Nc1ccc(Cc2ccc(N)cc2)cc1,Ki,,,,,CHEMBL1909046,
