molecule_chembl_id,pref_name,clean_smiles,first_approval,pred_IDO1,pred_TDO2,pred_M,pred_D,LCB_IDO1,LCB_TDO2,LCB_dual,P_dual_active,P_balanced_dual,AD_maxTanimoto,in_domain,LCB_dual_standard,LCB_dual_normalized,LCB_dual_pacr,AD_dist_to_paired,PACR_chem_dist_to_ptr,PACR_doc_dist_to_ptr
CHEMBL2021422,FOSPROPOFOL DISODIUM,CC(C)c1cccc(C(C)C)c1OCOP(=O)([O-])[O-],2008.0,5.26,5.04,5.15,0.22,3.83,3.86,3.83,0.022,0.022,0.191,False,4.336235431307644,4.2736687822931145,4.120644514419271,0.80851066,0.8275862,0.8665096014738083
CHEMBL1356,SODIUM BENZOATE,O=C([O-])c1ccccc1,1987.0,5.11,5.04,5.07,0.07,3.68,3.86,3.68,0.017,0.017,0.293,False,4.137282174168537,4.291430468010663,4.120557906341501,0.7073171,0.725,0.8123763501644135
CHEMBL1431,METFORMIN,CN(C)C(=N)NC(=N)N,1995.0,5.59,5.52,5.55,0.07,4.16,4.34,4.16,0.099,0.099,0.096,False,4.1592366745454825,4.289087792340126,4.120533090069178,0.90384614,0.9245283,0.9475262649357319
CHEMBL605,PROCAINAMIDE HYDROCHLORIDE,CCN(CC)CCNC(=O)c1ccc(N)cc1,1950.0,5.32,5.03,5.18,0.29,3.9,3.85,3.85,0.028,0.028,0.235,False,4.152848790788606,4.291620917156428,4.12050519263767,0.7647059,0.8,0.8583333343267441
CHEMBL1201042,ETIDRONATE DISODIUM,CC(O)(P(=O)([O-])O)P(=O)([O-])O,1977.0,5.25,5.12,5.19,0.13,3.83,3.95,3.83,0.028,0.028,0.098,False,4.119147612239235,4.287829748720683,4.120331999044917,0.9019608,0.921875,0.9230769202113152
CHEMBL1200381,ARGININE HYDROCHLORIDE,N=C(N)NCCC[C@H](N)C(=O)O,1982.0,5.33,5.1,5.22,0.23,3.91,3.93,3.91,0.033,0.033,0.224,False,4.3072588092433595,4.285802765392191,4.120203388177134,0.7755102,0.7755102,0.8950594216585159
CHEMBL1200598,DIETHYLSTILBESTROL DIPHOSPHATE,CC/C(=C(/CC)c1ccc(OP(=O)(O)O)cc1)c1ccc(OP(=O)(O)O)cc1,1982.0,5.31,5.16,5.23,0.15,3.88,3.98,3.88,0.033,0.033,0.183,False,4.134955799291025,4.289086925980488,4.120101994812034,0.81666666,0.84210527,0.8644067794084549
CHEMBL2106441,NOXYTIOLIN,CNC(=S)NCO,,5.29,5.15,5.22,0.14,3.86,3.98,3.86,0.028,0.028,0.089,False,4.148880886485394,4.30865966208467,4.120039164535705,0.9111111,0.9111111,0.9361135736107826
CHEMBL87708,LOFEPRAMINE,CN(CCCN1c2ccccc2CCc2ccccc21)CC(=O)c1ccc(Cl)cc1,,6.16,5.45,5.8,0.7,4.73,4.28,4.28,0.16,0.149,0.279,False,4.367321532050028,4.297226831666158,4.117798037431824,0.7205882,0.7702703,0.8088534623384476
CHEMBL591665,SODIUM ASCORBATE,O=C1O[C@H]([C@@H](O)CO)C([O-])=C1O,2006.0,5.68,5.37,5.52,0.31,4.25,4.19,4.19,0.083,0.083,0.173,False,4.321870897933719,4.304445609194797,4.117719180805052,0.8269231,0.8490566,0.8815789446234703
