split_seed,method,tau,feature_set,n_proper_train,n_calibration,n_test,theta_M,theta_D,coverage_IDO1,width_IDO1,coverage_TDO2,width_TDO2,coverage_M,width_M,coverage_D,width_D,ad_q1_coverage_IDO1,ad_q4_coverage_IDO1,ad_coverage_mad_IDO1,ad_q1_width_IDO1,ad_q4_width_IDO1,doc_q1_coverage_IDO1,doc_q4_coverage_IDO1,doc_coverage_mad_IDO1,doc_q1_width_IDO1,doc_q4_width_IDO1,width_error_corr_IDO1,deck_max_LCB_dual,deck_n_clear_dual,deck_top_pref_name,tau_label
0,pacr_chem_doc,0.75,chem_doc,185,205,294,0.09094;0;0,0.02093;0.0343;0.2543,0.9149659863945578,2.8965203692366885,0.9183673469387755,2.534289488002232,0.9115646258503401,2.3548976182936854,0.9693877551020408,3.2085502768881358,0.9054054054054054,0.972972972972973,0.03329322473158089,2.368017474986691,3.5750396680582495,0.9054054054054054,0.972972972972973,0.03329322473158089,2.367744866754342,3.5863404692545333,0.21728717347673426,5.292916716138951,0,CRIZOTINIB,0.75
0,pacr_chem,0.8,chem,185,205,294,0.3209;0,0.2028;0.1149,0.9659863945578231,3.5079661785010714,0.9591836734693877,3.1376949439456574,0.95578231292517,2.963661657008427,0.9761904761904762,3.6627075306235333,0.9864864864864865,0.9864864864864865,0.0658459829692706,2.905410957915269,4.180104516585507,0.9459459459459459,0.9864864864864865,0.0659848204368752,2.916472748066275,4.194325943467555,0.19278273047066294,5.03161514516876,0,RUXOLITINIB,0.80
0,pacr_doc,0.8,doc,185,205,294,0.3208;0,0.1394;0.2263,0.9659863945578231,3.463329720927793,0.9591836734693877,3.1296163633794944,0.95578231292517,2.9634009753851873,0.9761904761904762,3.5421348562010118,0.9864864864864865,0.9864864864864865,0.0658459829692706,2.830114202827841,4.20674594949991,0.9459459459459459,0.9864864864864865,0.0659848204368752,2.8349796975437855,4.221952531228484,0.20000616535718757,5.017645644362399,0,CRIZOTINIB,0.80
0,pacr_chem_doc,0.8,chem_doc,185,205,294,0.2448;0.07036;0.0219,0.1093;0.05545;0.2105,0.95578231292517,3.3490356125077194,0.95578231292517,3.001924834134742,0.9489795918367347,2.8356956460793215,0.9761904761904762,3.4841966349044027,0.9594594594594594,0.9864864864864865,0.06045908922621249,2.677984498046772,4.218456637246073,0.9324324324324325,0.9864864864864865,0.05575712699000368,2.6822155897856015,4.232876841193076,0.21293518184634014,5.012120529399083,0,CRIZOTINIB,0.80
1,standard,,none,161,199,324,,,0.8981481481481481,2.4670123020314527,0.8796296296296297,2.011206476548721,0.9012345679012346,1.862604741575175,0.8580246913580247,2.093677230203145,0.9506172839506173,0.7777777777777778,0.059259259259259234,2.4670123020314536,2.4670123020314527,0.9506172839506173,0.7530864197530864,0.07160493827160491,2.467012302031453,2.4670123020314527,-0.15931862731446608,5.811242285934212,0,MEROPENEM,baseline
1,normalized,,model_unc,161,199,324,,,0.8703703703703703,2.1857117023069743,0.8395061728395061,1.7718798450690185,0.8641975308641975,1.6572401212150856,0.8703703703703703,2.0496738531671252,0.8888888888888888,0.8271604938271605,0.03641975308641976,1.9045612016617128,2.544321789758884,0.9012345679012346,0.8024691358024691,0.043209876543209874,1.8856679240827745,2.5230466576745956,0.21253487260561957,5.642702379163728,0,MEROPENEM,baseline
1,pacr_chem,0.65,chem,161,199,324,0;0,0;0,0.8703703703703703,2.1857136234791135,0.8395061728395061,1.7718814556213582,0.8641975308641975,1.6572416998866457,0.8703703703703703,2.0496754939984427,0.8888888888888888,0.8271604938271605,0.03641975308641976,1.9045631585871825,2.5443236736821966,0.9012345679012346,0.8024691358024691,0.043209876543209874,1.8856698759732469,2.523048547652636,0.2125348552512158,5.642701591301038,0,MEROPENEM,0.65
1,pacr_doc,0.65,doc,161,199,324,0;0,0;0,0.8703703703703703,2.1857136234791135,0.8395061728395061,1.7718814556213582,0.8641975308641975,1.6572416998866457,0.8703703703703703,2.0496754939984427,0.8888888888888888,0.8271604938271605,0.03641975308641976,1.9045631585871825,2.5443236736821966,0.9012345679012346,0.8024691358024691,0.043209876543209874,1.8856698759732469,2.523048547652636,0.2125348552512158,5.642701591301038,0,MEROPENEM,0.65
1,pacr_chem_doc,0.65,chem_doc,161,199,324,0;0;0,0;0;0,0.8703703703703703,2.1857136234791135,0.8395061728395061,1.7718814556213582,0.8641975308641975,1.6572416998866457,0.8703703703703703,2.0496754939984427,0.8888888888888888,0.8271604938271605,0.03641975308641976,1.9045631585871825,2.5443236736821966,0.9012345679012346,0.8024691358024691,0.043209876543209874,1.8856698759732469,2.523048547652636,0.2125348552512158,5.642701591301038,0,MEROPENEM,0.65
1,pacr_chem,0.7,chem,161,199,324,0;0,0;0,0.8703703703703703,2.1857136234791135,0.8395061728395061,1.7718814556213582,0.8641975308641975,1.6572416998866457,0.8703703703703703,2.0496754939984427,0.8888888888888888,0.8271604938271605,0.03641975308641976,1.9045631585871825,2.5443236736821966,0.9012345679012346,0.8024691358024691,0.043209876543209874,1.8856698759732469,2.523048547652636,0.2125348552512158,5.642701591301038,0,MEROPENEM,0.70
