clean_smiles,pIC50_cox1,src_doc_cox1,molid_cox1,pIC50_cox2,src_doc_cox2,molid_cox2,M,D,scaffold,src_doc
CC(=O)[N-]S(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,4.0,CHEMBL1133164,CHEMBL42077,4.7,CHEMBL1133164,CHEMBL42077,4.35,-0.7000000000000002,c1ccc(-c2conc2-c2ccccc2)cc1,CHEMBL1133164
CC(=O)c1c(O)cc(O)c(C/C=C(\C)CCC=C(C)C)c1O,5.16,CHEMBL1914366,CHEMBL1242095,6.4,CHEMBL1914366,CHEMBL1242095,5.78,-1.2400000000000002,c1ccccc1,CHEMBL1914366
CC(=O)c1cc(/C=C/S(N)(=O)=O)cc(C(=O)c2ccccc2)c1,5.19,CHEMBL1136059,CHEMBL150773,4.7,CHEMBL1136059,CHEMBL150773,4.945,0.4900000000000002,O=C(c1ccccc1)c1ccccc1,CHEMBL1136059
CC(=O)n1nc(-c2ccc(Cl)cc2)cc1-c1cn(-c2ccccc2)nc1-c1ccc(OCc2ccccc2)cc1,5.57,CHEMBL4373665,CHEMBL4448607,5.55,CHEMBL4373665,CHEMBL4448607,5.5600000000000005,0.020000000000000462,c1ccc(COc2ccc(-c3nn(-c4ccccc4)cc3-c3cc(-c4ccccc4)n[nH]3)cc2)cc1,CHEMBL4373665
CC(=O)n1nc(-c2ccccc2)cc1-c1cn(-c2ccccc2)nc1-c1ccc(OCc2ccccc2)cc1,4.89,CHEMBL4373665,CHEMBL4449905,5.71,CHEMBL4373665,CHEMBL4449905,5.3,-0.8200000000000003,c1ccc(COc2ccc(-c3nn(-c4ccccc4)cc3-c3cc(-c4ccccc4)n[nH]3)cc2)cc1,CHEMBL4373665
CC(C(=O)Nc1c(C#N)cnn1-c1ccc(S(N)(=O)=O)cc1)N1CCOCC1,6.79,CHEMBL4393660,CHEMBL4452534,6.91,CHEMBL4393660,CHEMBL4452534,6.85,-0.1200000000000001,O=C(CN1CCOCC1)Nc1ccnn1-c1ccccc1,CHEMBL4393660
CC(C(=O)O)c1cc(C(=O)c2ccccc2)ccc1O,7.29,CHEMBL1133736,CHEMBL274587,6.52,CHEMBL1133736,CHEMBL274587,6.904999999999999,0.7700000000000005,O=C(c1ccccc1)c1ccccc1,CHEMBL1133736
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,7.68,CHEMBL1141454,CHEMBL563,6.39,CHEMBL1131913,CHEMBL563,7.035,1.29,c1ccc(-c2ccccc2)cc1,CHEMBL1131913
CC(C(=O)O)c1ccc(-c2cn3ccccc3n2)cc1,6.73,CHEMBL3045211,CHEMBL2106551,7.32,CHEMBL3045211,CHEMBL2106551,7.025,-0.5899999999999999,c1ccc(-c2cn3ccccc3n2)cc1,CHEMBL3045211
CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,6.25,CHEMBL1156585,CHEMBL956,5.56,CHEMBL1156585,CHEMBL956,5.904999999999999,0.6900000000000004,O=C(c1ccccc1)c1cccs1,CHEMBL1156585
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,5.19,CHEMBL1147594,CHEMBL19299,4.87,CHEMBL1147594,CHEMBL19299,5.03,0.3200000000000003,O=C1CCCC1Cc1ccccc1,CHEMBL1147594
CC(C(=O)O)c1ccc(CC2CCCC2O)cc1,5.72,CHEMBL1147594,CHEMBL416542,4.66,CHEMBL1147594,CHEMBL416542,5.1899999999999995,1.0599999999999996,c1ccc(CC2CCCC2)cc1,CHEMBL1147594
CC(C(=O)O)c1ccc(C[C@@H]2CCC[C@@H]2O)cc1,5.2,CHEMBL1275375,CHEMBL1275941,4.91,CHEMBL1275375,CHEMBL1275941,5.055,0.29000000000000004,c1ccc(CC2CCCC2)cc1,CHEMBL1275375
CC(C(=O)O)c1ccc(C[C@@H]2CCC[C@@H]2O)cc1Br,5.14,CHEMBL1275375,CHEMBL1275971,4.47,CHEMBL1275375,CHEMBL1275971,4.805,0.6699999999999999,c1ccc(CC2CCCC2)cc1,CHEMBL1275375
CC(C(=O)O)c1ccc(C[C@@H]2CCC[C@@H]2O)cc1F,5.11,CHEMBL1275375,CHEMBL1275970,4.32,CHEMBL1275375,CHEMBL1275970,4.715,0.79,c1ccc(CC2CCCC2)cc1,CHEMBL1275375
CC(C(=O)O)c1ccc(C[C@H]2CCC[C@@H]2O)cc1,5.89,CHEMBL1275375,CHEMBL1275942,5.62,CHEMBL1275375,CHEMBL1275942,5.755,0.2699999999999996,c1ccc(CC2CCCC2)cc1,CHEMBL1275375
CC(C(=O)O)c1ccc(C[C@H]2CCC[C@@H]2O)cc1Br,5.66,CHEMBL1275375,CHEMBL1276001,5.07,CHEMBL1275375,CHEMBL1276001,5.365,0.5899999999999999,c1ccc(CC2CCCC2)cc1,CHEMBL1275375
CC(C(=O)O)c1ccc(C[C@H]2CCC[C@@H]2O)cc1F,6.22,CHEMBL1275375,CHEMBL1275972,5.51,CHEMBL1275375,CHEMBL1275972,5.865,0.71,c1ccc(CC2CCCC2)cc1,CHEMBL1275375
CC(C(=O)O)c1ccc(C[C@H]2CCC[C@H]2O)cc1,5.2,CHEMBL1811892,CHEMBL1814711,4.91,CHEMBL1811892,CHEMBL1814711,5.055,0.29000000000000004,c1ccc(CC2CCCC2)cc1,CHEMBL1811892
CC(C(=O)O)c1ccc(C[SiH](C)C)cc1,4.58,CHEMBL4665811,CHEMBL4760091,5.08,CHEMBL4665811,CHEMBL4760091,4.83,-0.5,c1ccccc1,CHEMBL4665811
CC(C(=O)O)c1ccc(Cc2ccco2)cc1F,4.67,CHEMBL2062479,CHEMBL2063852,5.39,CHEMBL2062479,CHEMBL2063852,5.029999999999999,-0.7199999999999998,c1ccc(Cc2ccco2)cc1,CHEMBL2062479
CC(C(=O)O)c1ccc(Cc2cccs2)cc1F,4.7,CHEMBL2062479,CHEMBL2063853,4.89,CHEMBL2062479,CHEMBL2063853,4.795,-0.1899999999999995,c1ccc(Cc2cccs2)cc1,CHEMBL2062479
CC(C(=O)O)c1ccc(Cc2ccoc2)cc1F,4.52,CHEMBL2062479,CHEMBL2063854,5.4,CHEMBL2062479,CHEMBL2063854,4.96,-0.8800000000000008,c1ccc(Cc2ccoc2)cc1,CHEMBL2062479
CC(C(=O)O)c1ccc(Cc2ccsc2)cc1F,5.02,CHEMBL2062479,CHEMBL2063855,5.08,CHEMBL2062479,CHEMBL2063855,5.05,-0.0600000000000005,c1ccc(Cc2ccsc2)cc1,CHEMBL2062479
CC(C(=O)O)c1ccc(NC2CCCC2)cc1F,4.81,CHEMBL2062479,CHEMBL2063730,4.67,CHEMBL2062479,CHEMBL2063730,4.74,0.13999999999999968,c1ccc(NC2CCCC2)cc1,CHEMBL2062479
CC(C(=O)O)c1ccc(N[C@H]2CCC[C@@H]2O)cc1F,5.05,CHEMBL2062479,CHEMBL2063728,4.85,CHEMBL2062479,CHEMBL2063728,4.949999999999999,0.20000000000000018,c1ccc(NC2CCCC2)cc1,CHEMBL2062479
CC(C(=O)O)c1ccc(OC2CCCC2)cc1F,5.52,CHEMBL2062479,CHEMBL2063734,4.58,CHEMBL2062479,CHEMBL2063734,5.05,0.9399999999999995,c1ccc(OC2CCCC2)cc1,CHEMBL2062479
CC(C(=O)O)c1ccc(OC2CCCC2=O)cc1F,5.82,CHEMBL2062479,CHEMBL2063732,4.62,CHEMBL2062479,CHEMBL2063732,5.220000000000001,1.2000000000000002,O=C1CCCC1Oc1ccccc1,CHEMBL2062479
CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,4.88,CHEMBL1134352,CHEMBL1316,6.99,CHEMBL1134352,CHEMBL1316,5.9350000000000005,-2.1100000000000003,c1ccc2c(c1)[nH]c1ccccc12,CHEMBL1134352
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,8.274999999999999,CHEMBL1136059,CHEMBL571,6.79,CHEMBL1136059,CHEMBL571,7.532499999999999,1.4849999999999985,O=C(c1ccccc1)c1ccccc1,CHEMBL1136059
CC(C(=O)OCC(CO[N+](=O)[O-])O[N+](=O)[O-])c1ccc(C(=O)c2cccs2)cc1,6.32,CHEMBL1156585,CHEMBL497677,5.57,CHEMBL1156585,CHEMBL497677,5.945,0.75,O=C(c1ccccc1)c1cccs1,CHEMBL1156585
CC(C(=O)OCC(CO[N+](=O)[O-])O[N+](=O)[O-])c1cccc(C(=O)c2ccccc2)c1,6.24,CHEMBL1156585,CHEMBL497859,6.13,CHEMBL1156585,CHEMBL497859,6.1850000000000005,0.11000000000000032,O=C(c1ccccc1)c1ccccc1,CHEMBL1156585
CC(C(=O)OCCO[N+](=O)[O-])c1ccc(C(=O)c2cccs2)cc1,6.24,CHEMBL1156585,CHEMBL497507,5.24,CHEMBL1156585,CHEMBL497507,5.74,1.0,O=C(c1ccccc1)c1cccs1,CHEMBL1156585
CC(C(=O)OCCO[N+](=O)[O-])c1cccc(C(=O)c2ccccc2)c1,6.35,CHEMBL1156585,CHEMBL444396,6.11,CHEMBL1156585,CHEMBL444396,6.23,0.23999999999999932,O=C(c1ccccc1)c1ccccc1,CHEMBL1156585
CC(C(=O)[O-])c1ccc(CC2CCCC2=O)c(Br)c1,4.31,CHEMBL1811892,CHEMBL1814710,4.64,CHEMBL1811892,CHEMBL1814710,4.475,-0.33000000000000007,O=C1CCCC1Cc1ccccc1,CHEMBL1811892
CC(C(=O)[O-])c1ccc(CC2CCCC2=O)cc1,4.625,CHEMBL1275375,CHEMBL66552,5.0,CHEMBL1275375,CHEMBL66552,4.8125,-0.375,O=C1CCCC1Cc1ccccc1,CHEMBL1275375
CC(C(=O)[O-])c1ccc(CC2CCCC2=O)cc1Br,4.52,CHEMBL1275375,CHEMBL1275940,4.1850000000000005,CHEMBL1275375,CHEMBL1275940,4.3525,0.3349999999999991,O=C1CCCC1Cc1ccccc1,CHEMBL1275375
CC(C(=O)[O-])c1ccc(CC2CCCC2=O)cc1Cl,5.4,CHEMBL1811892,CHEMBL1814707,5.7,CHEMBL1811892,CHEMBL1814707,5.550000000000001,-0.2999999999999998,O=C1CCCC1Cc1ccccc1,CHEMBL1811892
CC(C(=O)[O-])c1ccc(CC2CCCC2=O)cc1F,4.62,CHEMBL1275375,CHEMBL1275921,4.845,CHEMBL1275375,CHEMBL1275921,4.7325,-0.22499999999999964,O=C1CCCC1Cc1ccccc1,CHEMBL1275375
CC(C(=O)[O-])c1ccc(CC2CCCC2=O)cc1[N+](=O)[O-],4.03,CHEMBL1811892,CHEMBL1814709,4.31,CHEMBL1811892,CHEMBL1814709,4.17,-0.27999999999999936,O=C1CCCC1Cc1ccccc1,CHEMBL1811892
